runNumber, ProgramName, Run Start (Unixtime), Run stop (Unixtime), Duration (s), Run Start, Run Stop, Raw N Hits (Mode), Raw N Hits (Mean), Raw P Hits (Mode), Raw P Hits (Mean), Hits (Mode), Hits (Mean), Tracks (Mode), Tracks (Mean), nSVDEvents, n Verts (Sum), n Verts (Mean), Vert Rate (Hz), Pass Cuts (Sum), Pass Cuts (Mean), Pass Cut Rate (Hz),Last VF48 Event Time,Compilation Date, Analysis Host, Git Branch, Git date, Git hash, Git Hash (long), Git diff (shortstat),
70251,alpha2online.exe (deleted),1715566020,1715601290,35270,Mon May 13 04:07:00 2024,Mon May 13 13:54:50 2024,169,176.172238,67,80.233787,6,21.211775,2,2.200968,569589,399451,0.701297,11.325517,151343,0.265706,4.290984,35256.461140,2024-05-11	10:12:53,UNKNOWN,main,2024-04-28	18:30:41,a28d8a7f,a28d8a7f8493452929c816bf7cf4bce85b539ad2, 3 files changed; 21 insertions(+); 9 deletions(-),
70267,alpha2online.exe (deleted),1715641365,1715670024,28659,Tue May 14 01:02:45 2024,Tue May 14 09:00:24 2024,176,181.259006,68,82.467098,6,22.233420,2,2.280026,496104,353826,0.713209,12.346069,145365,0.293013,5.072229,28633.474752,2024-05-11	10:12:53,UNKNOWN,main,2024-04-28	18:30:41,a28d8a7f,a28d8a7f8493452929c816bf7cf4bce85b539ad2, 3 files changed; 21 insertions(+); 9 deletions(-),
70386,alpha2online.exe,1716174236,1716194874,20638,Mon May 20 05:03:56 2024,Mon May 20 10:47:54 2024,172,178.162142,68,82.065829,6,23.421833,2,2.346044,397363,288271,0.725460,13.967972,128702,0.323890,6.236166,20625.035386,2024-05-15	10:17:16,UNKNOWN,A2Run_2024,2024-05-14	11:17:07,3cd8b42f,3cd8b42f110a44c240397d31d38251b2e4f6d8c1, 2 files changed; 2 insertions(+); 2 deletions(-),
70428,alpha2online.exe,1716315055,1716336104,21049,Tue May 21 20:10:55 2024,Wed May 22 02:01:44 2024,170,177.986688,69,82.136134,6,23.007338,2,2.307839,397009,284580,0.716810,13.527961,125048,0.314975,5.944355,21036.429378,2024-05-20	19:10:02,UNKNOWN,A2Run_2024,2024-05-20	19:00:34,d570582e,d570582eb50be5f7ecd9f82b7ad954d7ce11d058, 3 files changed; 4 insertions(+); 4 deletions(-),
70461,alpha2online.exe,1716476959,1716494215,17256,Thu May 23 17:09:19 2024,Thu May 23 21:56:55 2024,172,180.021747,70,84.159016,6,23.497440,2,2.349851,322131,231197,0.717711,13.407700,101766,0.315915,5.901668,17243.598472,2024-05-20	19:10:02,UNKNOWN,A2Run_2024,2024-05-20	19:00:34,d570582e,d570582eb50be5f7ecd9f82b7ad954d7ce11d058, 3 files changed; 4 insertions(+); 4 deletions(-),
70471,alpha2online.exe,1716543928,1716560511,16583,Fri May 24 11:45:28 2024,Fri May 24 16:21:51 2024,166,174.808840,67,81.479284,6,23.320583,2,2.346458,306675,219620,0.716133,13.253983,96156,0.313544,5.802978,16570.113624,2024-05-20	19:10:02,UNKNOWN,A2Run_2024,2024-05-20	19:00:34,d570582e,d570582eb50be5f7ecd9f82b7ad954d7ce11d058, 3 files changed; 4 insertions(+); 4 deletions(-),
70503,alpha2online.exe,1716591478,1716606917,15439,Sat May 25 00:57:58 2024,Sat May 25 05:15:17 2024,173,179.912694,71,83.907077,6,24.481866,2,2.431493,316524,231304,0.730763,14.994398,109068,0.344581,7.070388,15426.027615,2024-05-24	23:27:07,UNKNOWN,A2Run_2024,2024-05-24	22:09:30,264afbeb,264afbebfeae446af8f5cf733576fc5f9c748b5c, 3 files changed; 4 insertions(+); 2 deletions(-),
71064,alpha2online.exe,1720299066,1720333767,34701,Sat Jul  6 22:51:06 2024,Sun Jul  7 08:29:27 2024,169,177.219982,71,83.611380,6,24.146513,2,2.355035,724280,525717,0.725848,15.161716,248146,0.342611,7.156548,34673.977329,2024-06-23	20:16:59,UNKNOWN,A2Run_2024,2024-06-23	20:11:00,7b16d64b,7b16d64b4fe9b82ce55b82348e68719520185c29, 2 files changed; 137 insertions(+); 101 deletions(-),
71376,alpha2online.exe (deleted),1721423207,1721489213,66006,Fri Jul 19 23:06:47 2024,Sat Jul 20 17:26:53 2024,176,182.521994,70,83.532851,6,22.222346,2,2.239988,1140239,801081,0.702555,12.138968,322731,0.283038,4.890418,65992.514288,2024-07-09	16:53:01,UNKNOWN,A2Run_2024,2024-07-09	16:26:58,c6090f68,c6090f68e4a0d07195f539c535ab9e6e3b6d627a, 2 files changed; 137 insertions(+); 101 deletions(-),
71401,alpha2online.exe (deleted),1721854522,1721925165,70643,Wed Jul 24 22:55:22 2024,Thu Jul 25 18:32:45 2024,169,176.181829,68,80.719976,6,21.467571,2,2.187746,1151966,801263,0.695561,11.344516,306888,0.266404,4.345010,70629.986914,2024-07-09	16:53:01,UNKNOWN,A2Run_2024,2024-07-09	16:26:58,c6090f68,c6090f68e4a0d07195f539c535ab9e6e3b6d627a, 2 files changed; 137 insertions(+); 101 deletions(-),
