Run Number,Min Time,Max Time,Zero Time
70251,32004.655076,32516.670566,32004.655076
70251,33025.724451,33537.739960,33025.724451
70251,33808.552570,33936.565608,33808.552570
70251,34366.409992,34878.425498,34366.409992
70251,34944.079165,35072.092201,34944.079165
70267,25384.222904,25896.238085,25384.222904
70267,26099.210933,26611.226129,26099.210933
70267,26742.593462,26870.606424,26742.593462
70267,27380.888406,27892.903610,27380.888406
70267,27972.884533,28100.897495,27972.884533
70386,18093.062105,18605.077318,18093.062105
70386,18859.674175,20184.304020,18859.674175
70428,13091.206605,13603.221888,13091.206605
70428,13689.855859,14202.471147,13689.855859
70428,14259.870842,14772.486130,14259.870842
70428,14869.923613,15381.938900,14869.923613
70428,15429.192727,15429.794730,15429.192727
70428,15582.252609,16094.867889,15582.252609
70428,16180.780675,16693.395951,16180.780675
70428,17485.606037,17998.221296,17485.606037
70428,18230.319319,18742.934585,18230.319319
70428,18950.604627,18951.206630,18950.604627
70428,19190.769588,19191.371591,19190.769588
70428,19223.895620,19736.510865,19223.895620
70428,19888.602160,20401.217410,19888.602160
70428,20533.011803,20789.635751,20533.011803
70461,14967.566759,15479.581954,14967.566759
70461,15721.222472,17045.852252,15721.222472
70471,14083.433229,14595.448435,14083.433229
70471,14860.421869,16185.051713,14860.421869
70503,13018.939055,13530.954214,13018.939055
70503,13777.749774,15102.379454,13777.749774
71064,27963.109250,28475.124519,27963.109250
71064,32050.996415,32563.011678,32050.996415
71064,33010.141404,34334.771379,33010.141404
71376,34439.257934,34951.273226,34439.257934
71376,35031.707790,35544.323089,35031.707790
71376,35568.220879,36080.836178,35568.220879
71376,59655.398114,60167.413495,59655.398114
71376,60639.462796,61151.478180,60639.462796
71376,61227.484281,61739.499667,61227.484281
71401,32320.380337,32576.994326,32320.380337
71401,32708.959096,32964.973080,32708.959096
71401,33083.104665,33595.719989,33083.104665
71401,33657.208281,34169.823602,33657.208281
71401,35575.555641,36088.170962,35575.555641
71401,36133.770253,36646.385579,36133.770253
71677,40845.469342,41101.483329,40845.469342
71677,41210.792237,41723.407567,41210.792237
71677,41723.704538,42236.319863,41723.704538
71677,42293.920518,42806.535844,42293.920518
71761,30409.455341,30922.070696,30409.455341
71761,30937.022387,31449.637738,30937.022387
71761,31470.921089,31983.536439,31470.921089
71761,41947.801646,42460.416991,41947.801646
71761,42741.309258,43253.924602,42741.309258
71741,36492.075084,36748.089054,36492.075084
71741,36930.557798,37443.173095,36930.557798
71741,37529.765772,38042.381062,37529.765772
71741,38201.480103,38714.095389,38201.480103
