#run ; bias; type_ramp ; segment1 ; err. segment1 ; segment2 ; err. segment2 ; segment3 ; err. segment3 ; segment4 ; err. segment4 
r14106 	 -2.000 	 short 	 -0.387 	 0.182 	 -1.001 	 0.003 	 -0.991 	 0.006 	 nan 	 nan
r14342 	 -1.250 	 long 	 -0.144 	 0.267 	 -0.726 	 0.036 	 -0.964 	 0.024 	 1.000 	 0.06
r14268 	 -1.250 	 short 	 -0.100 	 0.224 	 -0.713 	 0.043 	 -0.901 	 0.016 	 nan 	 nan
r14347 	 -1.125 	 long 	 -0.030 	 0.175 	 -0.590 	 0.042 	 -0.817 	 0.057 	 0.846 	 0.13
r14286 	 -1.000 	 short 	 0.214 	 0.448 	 -0.197 	 0.093 	 -0.483 	 0.048 	 nan 	 nan
r14332 	 -1.000 	 long 	 -0.459 	 0.190 	 -0.280 	 0.058 	 -0.552 	 0.084 	 0.890 	 0.09
r14338 	 -0.875 	 long 	 -0.105 	 0.162 	 -0.120 	 0.072 	 -0.289 	 0.134 	 0.925 	 0.12
r14112 	 -0.750 	 short 	 0.078 	 0.196 	 0.138 	 0.080 	 0.075 	 0.064 	 nan 	 nan
r14314 	 -0.750 	 short 	 0.336 	 0.165 	 0.237 	 0.058 	 0.191 	 0.041 	 1.000 	 0.01
r14318 	 -0.740 	 long 	 0.087 	 0.169 	 0.050 	 0.064 	 0.316 	 0.109 	 1.000 	 0.13
r14308 	 -0.500 	 short 	 0.572 	 0.135 	 0.695 	 0.044 	 0.817 	 0.027 	 nan 	 nan
r14100 	 0.000 	 short 	 0.660 	 0.158 	 0.958 	 0.017 	 0.992 	 0.005 	 nan 	 nan
r14382 	 -1.295 	 single 	 nan 	 nan 	 nan 	 nan 	 nan 	 nan 	 nan 	 nan
r14370 	 -1.071 	 single 	 nan 	 nan 	 nan 	 nan 	 nan 	 nan 	 nan 	 nan
r14447 	 -1.000 	 single 	 nan 	 nan 	 nan 	 nan 	 nan 	 nan 	 nan 	 nan
r14444 	 -0.875 	 single 	 nan 	 nan 	 nan 	 nan 	 nan 	 nan 	 nan 	 nan
r14440 	 -0.750 	 single 	 nan 	 nan 	 nan 	 nan 	 nan 	 nan 	 nan 	 nan
