z (mm) - Bz on axis,Total potential (T) - Bz on axis,z (mm) - Min |B| on wall,Total potential (T) - Min |B| on wall
-3000,-0.00466541,-1000,0.779142
-2997,-0.0046565,-999.5,0.780243
-2994,-0.00464758,-999,0.781342
-2991,-0.00463862,-998.5,0.782438
-2988,-0.00462964,-998,0.783532
-2985,-0.00462063,-997.5,0.784624
-2982,-0.0046116,-997,0.785714
-2979,-0.00460254,-996.5,0.786801
-2976,-0.00459346,-996,0.787886
-2973,-0.00458435,-995.5,0.788968
-2970,-0.00457521,-995,0.790048
-2967,-0.00456604,-994.5,0.791126
-2964,-0.00455685,-994,0.792201
-2961,-0.00454763,-993.5,0.793274
-2958,-0.00453838,-993,0.794344
-2955,-0.0045291,-992.5,0.795412
-2952,-0.00451979,-992,0.796478
-2949,-0.00451046,-991.5,0.797541
-2946,-0.0045011,-991,0.798602
-2943,-0.0044917,-990.5,0.79966
-2940,-0.00448228,-990,0.800715
-2937,-0.00447283,-989.5,0.801768
-2934,-0.00446335,-989,0.802819
-2931,-0.00445384,-988.5,0.803867
-2928,-0.00444429,-988,0.804912
-2925,-0.00443472,-987.5,0.805955
-2922,-0.00442512,-987,0.806995
-2919,-0.00441548,-986.5,0.808033
-2916,-0.00440582,-986,0.809068
-2913,-0.00439612,-985.5,0.810101
-2910,-0.00438639,-985,0.81113
-2907,-0.00437662,-984.5,0.812158
-2904,-0.00436683,-984,0.813182
-2901,-0.004357,-983.5,0.814204
-2898,-0.00434714,-983,0.815223
-2895,-0.00433725,-982.5,0.81624
-2892,-0.00432732,-982,0.817253
-2889,-0.00431735,-981.5,0.818264
-2886,-0.00430736,-981,0.819273
-2883,-0.00429733,-980.5,0.820278
-2880,-0.00428726,-980,0.821281
-2877,-0.00427716,-979.5,0.822281
-2874,-0.00426702,-979,0.823279
-2871,-0.00425685,-978.5,0.824273
-2868,-0.00424664,-978,0.825265
-2865,-0.00423639,-977.5,0.826254
-2862,-0.00422611,-977,0.82724
-2859,-0.00421579,-976.5,0.828223
-2856,-0.00420543,-976,0.829204
-2853,-0.00419504,-975.5,0.830182
-2850,-0.0041846,-975,0.831157
-2847,-0.00417413,-974.5,0.832129
-2844,-0.00416362,-974,0.833098
-2841,-0.00415307,-973.5,0.834064
-2838,-0.00414248,-973,0.835027
-2835,-0.00413185,-972.5,0.835988
-2832,-0.00412118,-972,0.836945
-2829,-0.00411047,-971.5,0.8379
-2826,-0.00409972,-971,0.838852
-2823,-0.00408893,-970.5,0.839801
-2820,-0.00407809,-970,0.840747
-2817,-0.00406722,-969.5,0.841689
-2814,-0.0040563,-969,0.842629
-2811,-0.00404533,-968.5,0.843566
-2808,-0.00403433,-968,0.8445
-2805,-0.00402328,-967.5,0.845432
-2802,-0.00401219,-967,0.84636
-2799,-0.00400105,-966.5,0.847285
-2796,-0.00398987,-966,0.848207
-2793,-0.00397864,-965.5,0.849126
-2790,-0.00396737,-965,0.850042
-2787,-0.00395605,-964.5,0.850955
-2784,-0.00394468,-964,0.851865
-2781,-0.00393327,-963.5,0.852772
-2778,-0.0039218,-963,0.853676
-2775,-0.0039103,-962.5,0.854577
-2772,-0.00389874,-962,0.855474
-2769,-0.00388713,-961.5,0.856369
-2766,-0.00387548,-961,0.857261
-2763,-0.00386377,-960.5,0.858149
-2760,-0.00385202,-960,0.859035
-2757,-0.00384021,-959.5,0.859917
-2754,-0.00382836,-959,0.860796
-2751,-0.00381645,-958.5,0.861672
-2748,-0.00380449,-958,0.862545
-2745,-0.00379248,-957.5,0.863415
-2742,-0.00378041,-957,0.864282
-2739,-0.00376829,-956.5,0.865146
-2736,-0.00375612,-956,0.866006
-2733,-0.00374389,-955.5,0.866864
-2730,-0.00373161,-955,0.867718
-2727,-0.00371927,-954.5,0.868569
-2724,-0.00370687,-954,0.869417
-2721,-0.00369442,-953.5,0.870262
-2718,-0.00368191,-953,0.871103
-2715,-0.00366935,-952.5,0.871942
-2712,-0.00365672,-952,0.872777
-2709,-0.00364404,-951.5,0.873609
-2706,-0.0036313,-951,0.874438
-2703,-0.0036185,-950.5,0.875264
-2700,-0.00360563,-950,0.876086
-2697,-0.00359271,-949.5,0.876906
-2694,-0.00357972,-949,0.877722
-2691,-0.00356667,-948.5,0.878535
-2688,-0.00355356,-948,0.879344
-2685,-0.00354039,-947.5,0.880151
-2682,-0.00352715,-947,0.880954
-2679,-0.00351384,-946.5,0.881754
-2676,-0.00350048,-946,0.882551
-2673,-0.00348704,-945.5,0.883345
-2670,-0.00347354,-945,0.884135
-2667,-0.00345997,-944.5,0.884922
-2664,-0.00344633,-944,0.885706
-2661,-0.00343263,-943.5,0.886487
-2658,-0.00341885,-943,0.887264
-2655,-0.00340501,-942.5,0.888038
-2652,-0.00339109,-942,0.888809
-2649,-0.0033771,-941.5,0.889577
-2646,-0.00336304,-941,0.890342
-2643,-0.00334891,-940.5,0.891103
-2640,-0.00333471,-940,0.891861
-2637,-0.00332043,-939.5,0.892615
-2634,-0.00330607,-939,0.893367
-2631,-0.00329164,-938.5,0.894115
-2628,-0.00327713,-938,0.89486
-2625,-0.00326255,-937.5,0.895602
-2622,-0.00324789,-937,0.89634
-2619,-0.00323315,-936.5,0.897075
-2616,-0.00321832,-936,0.897807
-2613,-0.00320342,-935.5,0.898536
-2610,-0.00318844,-935,0.899261
-2607,-0.00317338,-934.5,0.899984
-2604,-0.00315823,-934,0.900702
-2601,-0.003143,-933.5,0.901418
-2598,-0.00312768,-933,0.90213
-2595,-0.00311228,-932.5,0.902839
-2592,-0.00309679,-932,0.903545
-2589,-0.00308122,-931.5,0.904248
-2586,-0.00306555,-931,0.904947
-2583,-0.0030498,-930.5,0.905643
-2580,-0.00303396,-930,0.906336
-2577,-0.00301803,-929.5,0.907026
-2574,-0.003002,-929,0.907712
-2571,-0.00298589,-928.5,0.908395
-2568,-0.00296968,-928,0.909075
-2565,-0.00295337,-927.5,0.909751
-2562,-0.00293697,-927,0.910424
-2559,-0.00292047,-926.5,0.911094
-2556,-0.00290388,-926,0.911761
-2553,-0.00288719,-925.5,0.912425
-2550,-0.00287039,-925,0.913085
-2547,-0.0028535,-924.5,0.913742
-2544,-0.00283651,-924,0.914395
-2541,-0.00281941,-923.5,0.915046
-2538,-0.00280221,-923,0.915693
-2535,-0.0027849,-922.5,0.916337
-2532,-0.00276749,-922,0.916978
-2529,-0.00274997,-921.5,0.917616
-2526,-0.00273234,-921,0.91825
-2523,-0.0027146,-920.5,0.918881
-2520,-0.00269675,-920,0.919509
-2517,-0.0026788,-919.5,0.920134
-2514,-0.00266072,-919,0.920755
-2511,-0.00264254,-918.5,0.921373
-2508,-0.00262423,-918,0.921988
-2505,-0.00260582,-917.5,0.9226
-2502,-0.00258728,-917,0.923209
-2499,-0.00256863,-916.5,0.923814
-2496,-0.00254985,-916,0.924416
-2493,-0.00253095,-915.5,0.925015
-2490,-0.00251193,-915,0.925611
-2487,-0.00249279,-914.5,0.926204
-2484,-0.00247352,-914,0.926793
-2481,-0.00245412,-913.5,0.927379
-2478,-0.0024346,-913,0.927962
-2475,-0.00241494,-912.5,0.928542
-2472,-0.00239516,-912,0.929119
-2469,-0.00237524,-911.5,0.929692
-2466,-0.00235518,-911,0.930263
-2463,-0.002335,-910.5,0.93083
-2460,-0.00231467,-910,0.931394
-2457,-0.00229421,-909.5,0.931955
-2454,-0.00227361,-909,0.932513
-2451,-0.00225286,-908.5,0.933068
-2448,-0.00223197,-908,0.933619
-2445,-0.00221094,-907.5,0.934168
-2442,-0.00218976,-907,0.934713
-2439,-0.00216844,-906.5,0.935255
-2436,-0.00214696,-906,0.935794
-2433,-0.00212533,-905.5,0.93633
-2430,-0.00210355,-905,0.936863
-2427,-0.00208162,-904.5,0.937393
-2424,-0.00205953,-904,0.93792
-2421,-0.00203728,-903.5,0.938443
-2418,-0.00201487,-903,0.938964
-2415,-0.0019923,-902.5,0.939481
-2412,-0.00196957,-902,0.939996
-2409,-0.00194667,-901.5,0.940507
-2406,-0.00192361,-901,0.941016
-2403,-0.00190037,-900.5,0.941521
-2400,-0.00187697,-900,0.942023
-2397,-0.00185339,-899.5,0.942523
-2394,-0.00182964,-899,0.943019
-2391,-0.00180571,-898.5,0.943512
-2388,-0.0017816,-898,0.944002
-2385,-0.00175731,-897.5,0.944489
-2382,-0.00173284,-897,0.944974
-2379,-0.00170818,-896.5,0.945455
-2376,-0.00168334,-896,0.945933
-2373,-0.00165831,-895.5,0.946408
-2370,-0.00163308,-895,0.946881
-2367,-0.00160766,-894.5,0.94735
-2364,-0.00158205,-894,0.947816
-2361,-0.00155624,-893.5,0.94828
-2358,-0.00153022,-893,0.94874
-2355,-0.00150401,-892.5,0.949198
-2352,-0.00147759,-892,0.949653
-2349,-0.00145096,-891.5,0.950105
-2346,-0.00142412,-891,0.950553
-2343,-0.00139707,-890.5,0.950999
-2340,-0.00136981,-890,0.951443
-2337,-0.00134232,-889.5,0.951883
-2334,-0.00131462,-889,0.95232
-2331,-0.0012867,-888.5,0.952755
-2328,-0.00125855,-888,0.953186
-2325,-0.00123017,-887.5,0.953615
-2322,-0.00120156,-887,0.954041
-2319,-0.00117272,-886.5,0.954464
-2316,-0.00114364,-886,0.954884
-2313,-0.00111432,-885.5,0.955302
-2310,-0.00108476,-885,0.955717
-2307,-0.00105496,-884.5,0.956129
-2304,-0.00102491,-884,0.956538
-2301,-0.000994608,-883.5,0.956944
-2298,-0.000964053,-883,0.957348
-2295,-0.000933241,-882.5,0.957748
-2292,-0.00090217,-882,0.958147
-2289,-0.000870835,-881.5,0.958542
-2286,-0.000839235,-881,0.958934
-2283,-0.000807365,-880.5,0.959324
-2280,-0.000775223,-880,0.959712
-2277,-0.000742805,-879.5,0.960096
-2274,-0.000710108,-879,0.960478
-2271,-0.000677128,-878.5,0.960857
-2268,-0.000643862,-878,0.961233
-2265,-0.000610307,-877.5,0.961607
-2262,-0.000576458,-877,0.961978
-2259,-0.000542313,-876.5,0.962347
-2256,-0.000507866,-876,0.962712
-2253,-0.000473116,-875.5,0.963076
-2250,-0.000438058,-875,0.963436
-2247,-0.000402688,-874.5,0.963794
-2244,-0.000367002,-874,0.96415
-2241,-0.000330997,-873.5,0.964502
-2238,-0.000294668,-873,0.964853
-2235,-0.000258012,-872.5,0.9652
-2232,-0.000221024,-872,0.965545
-2229,-0.0001837,-871.5,0.965888
-2226,-0.000146035,-871,0.966228
-2223,-0.000108027,-870.5,0.966565
-2220,-6.97E-05,-870,0.9669
-2217,-3.10E-05,-869.5,0.967233
-2214,8.11E-06,-869,0.967563
-2211,4.75E-05,-868.5,0.96789
-2208,8.73E-05,-868,0.968215
-2205,0.000127507,-867.5,0.968538
-2202,0.000168052,-867,0.968858
-2199,0.000208978,-866.5,0.969176
-2196,0.00025029,-866,0.969491
-2193,0.000291993,-865.5,0.969804
-2190,0.000334092,-865,0.970114
-2187,0.000376592,-864.5,0.970422
-2184,0.000419499,-864,0.970728
-2181,0.000462816,-863.5,0.971031
-2178,0.000506551,-863,0.971332
-2175,0.000550708,-862.5,0.97163
-2172,0.000595293,-862,0.971926
-2169,0.000640311,-861.5,0.97222
-2166,0.000685768,-861,0.972512
-2163,0.00073167,-860.5,0.972801
-2160,0.000778022,-860,0.973088
-2157,0.000824831,-859.5,0.973372
-2154,0.000872103,-859,0.973655
-2151,0.000919843,-858.5,0.973935
-2148,0.000968058,-858,0.974212
-2145,0.00101675,-857.5,0.974488
-2142,0.00106594,-857,0.974761
-2139,0.00111562,-856.5,0.975032
-2136,0.00116579,-856,0.975301
-2133,0.00121648,-855.5,0.975568
-2130,0.00126768,-855,0.975832
-2127,0.0013194,-854.5,0.976094
-2124,0.00137165,-854,0.976354
-2121,0.00142444,-853.5,0.976612
-2118,0.00147776,-853,0.976868
-2115,0.00153164,-852.5,0.977122
-2112,0.00158607,-852,0.977373
-2109,0.00164107,-851.5,0.977623
-2106,0.00169664,-851,0.97787
-2103,0.00175279,-850.5,0.978115
-2100,0.00180953,-850,0.978358
-2097,0.00186686,-849.5,0.978599
-2094,0.0019248,-849,0.978838
-2091,0.00198336,-848.5,0.979075
-2088,0.00204253,-848,0.97931
-2085,0.00210233,-847.5,0.979543
-2082,0.00216277,-847,0.979773
-2079,0.00222386,-846.5,0.980002
-2076,0.00228561,-846,0.980229
-2073,0.00234802,-845.5,0.980454
-2070,0.0024111,-845,0.980677
-2067,0.00247487,-844.5,0.980898
-2064,0.00253933,-844,0.981117
-2061,0.0026045,-843.5,0.981334
-2058,0.00267037,-843,0.981549
-2055,0.00273698,-842.5,0.981762
-2052,0.00280431,-842,0.981973
-2049,0.00287239,-841.5,0.982183
-2046,0.00294122,-841,0.98239
-2043,0.00301082,-840.5,0.982596
-2040,0.0030812,-840,0.982799
-2037,0.00315236,-839.5,0.983001
-2034,0.00322432,-839,0.983201
-2031,0.00329709,-838.5,0.9834
-2028,0.00337068,-838,0.983596
-2025,0.0034451,-837.5,0.983791
-2022,0.00352037,-837,0.983984
-2019,0.0035965,-836.5,0.984175
-2016,0.00367349,-836,0.984364
-2013,0.00375137,-835.5,0.984551
-2010,0.00383014,-835,0.984737
-2007,0.00390982,-834.5,0.984921
-2004,0.00399043,-834,0.985104
-2001,0.00407196,-833.5,0.985284
-1998,0.00415445,-833,0.985463
-1995,0.0042379,-832.5,0.98564
-1992,0.00432232,-832,0.985816
-1989,0.00440774,-831.5,0.98599
-1986,0.00449416,-831,0.986162
-1983,0.0045816,-830.5,0.986332
-1980,0.00467008,-830,0.986501
-1977,0.00475961,-829.5,0.986669
-1974,0.0048502,-829,0.986834
-1971,0.00494188,-828.5,0.986998
-1968,0.00503465,-828,0.987161
-1965,0.00512854,-827.5,0.987322
-1962,0.00522357,-827,0.987481
-1959,0.00531974,-826.5,0.987639
-1956,0.00541707,-826,0.987795
-1953,0.0055156,-825.5,0.98795
-1950,0.00561532,-825,0.988103
-1947,0.00571626,-824.5,0.988254
-1944,0.00581844,-824,0.988404
-1941,0.00592188,-823.5,0.988553
-1938,0.0060266,-823,0.9887
-1935,0.00613261,-822.5,0.988846
-1932,0.00623993,-822,0.98899
-1929,0.0063486,-821.5,0.989133
-1926,0.00645862,-821,0.989274
-1923,0.00657001,-820.5,0.989414
-1920,0.00668281,-820,0.989552
-1917,0.00679703,-819.5,0.98969
-1914,0.00691268,-819,0.989825
-1911,0.00702981,-818.5,0.989959
-1908,0.00714842,-818,0.990092
-1905,0.00726854,-817.5,0.990224
-1902,0.0073902,-817,0.990354
-1899,0.00751341,-816.5,0.990483
-1896,0.00763821,-816,0.99061
-1893,0.00776462,-815.5,0.990736
-1890,0.00789266,-815,0.990861
-1887,0.00802236,-814.5,0.990985
-1884,0.00815375,-814,0.991107
-1881,0.00828684,-813.5,0.991228
-1878,0.00842168,-813,0.991348
-1875,0.00855829,-812.5,0.991466
-1872,0.00869669,-812,0.991583
-1869,0.00883691,-811.5,0.991699
-1866,0.00897899,-811,0.991814
-1863,0.00912295,-810.5,0.991927
-1860,0.00926882,-810,0.992039
-1857,0.00941664,-809.5,0.99215
-1854,0.00956644,-809,0.99226
-1851,0.00971824,-808.5,0.992369
-1848,0.00987209,-808,0.992476
-1845,0.010028,-807.5,0.992583
-1842,0.010186,-807,0.992688
-1839,0.0103462,-806.5,0.992792
-1836,0.0105085,-806,0.992895
-1833,0.0106731,-805.5,0.992997
-1830,0.0108399,-805,0.993097
-1827,0.011009,-804.5,0.993197
-1824,0.0111804,-804,0.993296
-1821,0.0113542,-803.5,0.993393
-1818,0.0115304,-803,0.993489
-1815,0.011709,-802.5,0.993585
-1812,0.0118901,-802,0.993679
-1809,0.0120737,-801.5,0.993772
-1806,0.0122599,-801,0.993864
-1803,0.0124487,-800.5,0.993956
-1800,0.0126402,-800,0.994046
-1797,0.0128344,-799.5,0.994135
-1794,0.0130312,-799,0.994223
-1791,0.0132309,-798.5,0.994311
-1788,0.0134335,-798,0.994397
-1785,0.0136389,-797.5,0.994482
-1782,0.0138472,-797,0.994567
-1779,0.0140585,-796.5,0.99465
-1776,0.0142729,-796,0.994733
-1773,0.0144903,-795.5,0.994815
-1770,0.0147109,-795,0.994896
-1767,0.0149347,-794.5,0.994976
-1764,0.0151617,-794,0.995055
-1761,0.015392,-793.5,0.995134
-1758,0.0156257,-793,0.995211
-1755,0.0158628,-792.5,0.995288
-1752,0.0161034,-792,0.995364
-1749,0.0163475,-791.5,0.99544
-1746,0.0165953,-791,0.995514
-1743,0.0168467,-790.5,0.995588
-1740,0.0171018,-790,0.995662
-1737,0.0173607,-789.5,0.995734
-1734,0.0176234,-789,0.995806
-1731,0.0178901,-788.5,0.995878
-1728,0.0181608,-788,0.995949
-1725,0.0184356,-787.5,0.996019
-1722,0.0187145,-787,0.996089
-1719,0.0189976,-786.5,0.996159
-1716,0.019285,-786,0.996228
-1713,0.0195767,-785.5,0.996297
-1710,0.0198729,-785,0.996366
-1707,0.0201736,-784.5,0.996434
-1704,0.0204789,-784,0.996503
-1701,0.0207889,-783.5,0.996571
-1698,0.0211036,-783,0.996639
-1695,0.0214233,-782.5,0.996707
-1692,0.0217478,-782,0.996771
-1689,0.0220774,-781.5,0.996827
-1686,0.0224121,-781,0.996883
-1683,0.022752,-780.5,0.996937
-1680,0.0230972,-780,0.99699
-1677,0.0234478,-779.5,0.997041
-1674,0.0238039,-779,0.997091
-1671,0.0241656,-778.5,0.997139
-1668,0.024533,-778,0.997186
-1665,0.0249063,-777.5,0.99723
-1662,0.0252854,-777,0.997272
-1659,0.0256705,-776.5,0.997313
-1656,0.0260618,-776,0.997351
-1653,0.0264594,-775.5,0.997386
-1650,0.0268633,-775,0.997419
-1647,0.0272737,-774.5,0.997449
