z (mm) - Bz on axis,Total potential (T) - Bz on axis,z (mm) - Min |B| on wall,Total potential (T) - Min |B| on wall
-3000,-0.00466567,-1000,0.779097
-2997,-0.00465677,-999.5,0.780197
-2994,-0.00464784,-999,0.781296
-2991,-0.00463889,-998.5,0.782392
-2988,-0.00462991,-998,0.783486
-2985,-0.00462091,-997.5,0.784578
-2982,-0.00461187,-997,0.785667
-2979,-0.00460282,-996.5,0.786754
-2976,-0.00459373,-996,0.787839
-2973,-0.00458462,-995.5,0.788921
-2970,-0.00457548,-995,0.790001
-2967,-0.00456632,-994.5,0.791079
-2964,-0.00455713,-994,0.792154
-2961,-0.00454791,-993.5,0.793227
-2958,-0.00453866,-993,0.794297
-2955,-0.00452938,-992.5,0.795365
-2952,-0.00452008,-992,0.79643
-2949,-0.00451074,-991.5,0.797493
-2946,-0.00450138,-991,0.798554
-2943,-0.00449199,-990.5,0.799611
-2940,-0.00448257,-990,0.800667
-2937,-0.00447312,-989.5,0.80172
-2934,-0.00446364,-989,0.80277
-2931,-0.00445413,-988.5,0.803818
-2928,-0.00444459,-988,0.804863
-2925,-0.00443501,-987.5,0.805906
-2922,-0.00442541,-987,0.806946
-2919,-0.00441578,-986.5,0.807983
-2916,-0.00440611,-986,0.809018
-2913,-0.00439641,-985.5,0.81005
-2910,-0.00438669,-985,0.81108
-2907,-0.00437692,-984.5,0.812107
-2904,-0.00436713,-984,0.813131
-2901,-0.0043573,-983.5,0.814153
-2898,-0.00434744,-983,0.815172
-2895,-0.00433755,-982.5,0.816188
-2892,-0.00432762,-982,0.817202
-2889,-0.00431766,-981.5,0.818213
-2886,-0.00430766,-981,0.819221
-2883,-0.00429763,-980.5,0.820226
-2880,-0.00428757,-980,0.821229
-2877,-0.00427747,-979.5,0.822229
-2874,-0.00426733,-979,0.823226
-2871,-0.00425716,-978.5,0.82422
-2868,-0.00424695,-978,0.825212
-2865,-0.00423671,-977.5,0.826201
-2862,-0.00422643,-977,0.827187
-2859,-0.00421611,-976.5,0.82817
-2856,-0.00420575,-976,0.82915
-2853,-0.00419536,-975.5,0.830128
-2850,-0.00418493,-975,0.831103
-2847,-0.00417445,-974.5,0.832074
-2844,-0.00416395,-974,0.833043
-2841,-0.0041534,-973.5,0.834009
-2838,-0.00414281,-973,0.834972
-2835,-0.00413218,-972.5,0.835933
-2832,-0.00412151,-972,0.83689
-2829,-0.0041108,-971.5,0.837845
-2826,-0.00410005,-971,0.838796
-2823,-0.00408926,-970.5,0.839745
-2820,-0.00407843,-970,0.84069
-2817,-0.00406755,-969.5,0.841633
-2814,-0.00405663,-969,0.842573
-2811,-0.00404567,-968.5,0.84351
-2808,-0.00403467,-968,0.844444
-2805,-0.00402362,-967.5,0.845374
-2802,-0.00401253,-967,0.846302
-2799,-0.00400139,-966.5,0.847227
-2796,-0.00399021,-966,0.848149
-2793,-0.00397899,-965.5,0.849068
-2790,-0.00396771,-965,0.849984
-2787,-0.00395639,-964.5,0.850896
-2784,-0.00394503,-964,0.851806
-2781,-0.00393362,-963.5,0.852713
-2778,-0.00392216,-963,0.853617
-2775,-0.00391065,-962.5,0.854517
-2772,-0.0038991,-962,0.855415
-2769,-0.00388749,-961.5,0.856309
-2766,-0.00387584,-961,0.857201
-2763,-0.00386413,-960.5,0.858089
-2760,-0.00385238,-960,0.858974
-2757,-0.00384058,-959.5,0.859856
-2754,-0.00382872,-959,0.860735
-2751,-0.00381682,-958.5,0.861611
-2748,-0.00380486,-958,0.862484
-2745,-0.00379285,-957.5,0.863354
-2742,-0.00378078,-957,0.86422
-2739,-0.00376866,-956.5,0.865084
-2736,-0.00375649,-956,0.865944
-2733,-0.00374427,-955.5,0.866801
-2730,-0.00373198,-955,0.867655
-2727,-0.00371965,-954.5,0.868506
-2724,-0.00370726,-954,0.869354
-2721,-0.00369481,-953.5,0.870198
-2718,-0.0036823,-953,0.87104
-2715,-0.00366973,-952.5,0.871878
-2712,-0.00365711,-952,0.872713
-2709,-0.00364443,-951.5,0.873545
-2706,-0.00363169,-951,0.874373
-2703,-0.00361889,-950.5,0.875199
-2700,-0.00360603,-950,0.876021
-2697,-0.0035931,-949.5,0.87684
-2694,-0.00358012,-949,0.877656
-2691,-0.00356707,-948.5,0.878468
-2688,-0.00355396,-948,0.879278
-2685,-0.00354079,-947.5,0.880084
-2682,-0.00352755,-947,0.880887
-2679,-0.00351425,-946.5,0.881687
-2676,-0.00350088,-946,0.882483
-2673,-0.00348745,-945.5,0.883277
-2670,-0.00347395,-945,0.884067
-2667,-0.00346038,-944.5,0.884854
-2664,-0.00344675,-944,0.885637
-2661,-0.00343304,-943.5,0.886418
-2658,-0.00341927,-943,0.887195
-2655,-0.00340543,-942.5,0.887969
-2652,-0.00339151,-942,0.88874
-2649,-0.00337753,-941.5,0.889507
-2646,-0.00336347,-941,0.890271
-2643,-0.00334934,-940.5,0.891032
-2640,-0.00333514,-940,0.89179
-2637,-0.00332086,-939.5,0.892544
-2634,-0.0033065,-939,0.893295
-2631,-0.00329208,-938.5,0.894043
-2628,-0.00327757,-938,0.894788
-2625,-0.00326299,-937.5,0.895529
-2622,-0.00324833,-937,0.896268
-2619,-0.00323359,-936.5,0.897002
-2616,-0.00321877,-936,0.897734
-2613,-0.00320387,-935.5,0.898462
-2610,-0.00318889,-935,0.899188
-2607,-0.00317383,-934.5,0.899909
-2604,-0.00315868,-934,0.900628
-2601,-0.00314345,-933.5,0.901343
-2598,-0.00312814,-933,0.902055
-2595,-0.00311274,-932.5,0.902764
-2592,-0.00309725,-932,0.90347
-2589,-0.00308168,-931.5,0.904172
-2586,-0.00306602,-931,0.904871
-2583,-0.00305027,-930.5,0.905567
-2580,-0.00303443,-930,0.906259
-2577,-0.0030185,-929.5,0.906948
-2574,-0.00300248,-929,0.907634
-2571,-0.00298636,-928.5,0.908317
-2568,-0.00297015,-928,0.908996
-2565,-0.00295385,-927.5,0.909672
-2562,-0.00293745,-927,0.910345
-2559,-0.00292096,-926.5,0.911015
-2556,-0.00290437,-926,0.911681
-2553,-0.00288767,-925.5,0.912345
-2550,-0.00287088,-925,0.913004
-2547,-0.00285399,-924.5,0.913661
-2544,-0.002837,-924,0.914315
-2541,-0.0028199,-923.5,0.914965
-2538,-0.0028027,-923,0.915612
-2535,-0.0027854,-922.5,0.916255
-2532,-0.00276799,-922,0.916896
-2529,-0.00275047,-921.5,0.917533
-2526,-0.00273285,-921,0.918167
-2523,-0.00271511,-920.5,0.918798
-2520,-0.00269727,-920,0.919425
-2517,-0.00267931,-919.5,0.920049
-2514,-0.00266124,-919,0.920671
-2511,-0.00264306,-918.5,0.921288
-2508,-0.00262476,-918,0.921903
-2505,-0.00260634,-917.5,0.922514
-2502,-0.00258781,-917,0.923123
-2499,-0.00256915,-916.5,0.923728
-2496,-0.00255038,-916,0.924329
-2493,-0.00253149,-915.5,0.924928
-2490,-0.00251247,-915,0.925523
-2487,-0.00249333,-914.5,0.926116
-2484,-0.00247406,-914,0.926705
-2481,-0.00245467,-913.5,0.927291
-2478,-0.00243514,-913,0.927873
-2475,-0.00241549,-912.5,0.928453
-2472,-0.00239571,-912,0.929029
-2469,-0.00237579,-911.5,0.929602
-2466,-0.00235574,-911,0.930172
-2463,-0.00233556,-910.5,0.930739
-2460,-0.00231523,-910,0.931303
-2457,-0.00229477,-909.5,0.931863
-2454,-0.00227417,-909,0.932421
-2451,-0.00225343,-908.5,0.932975
-2448,-0.00223255,-908,0.933526
-2445,-0.00221152,-907.5,0.934074
-2442,-0.00219034,-907,0.934619
-2439,-0.00216902,-906.5,0.935161
-2436,-0.00214754,-906,0.9357
-2433,-0.00212592,-905.5,0.936235
-2430,-0.00210414,-905,0.936768
-2427,-0.00208221,-904.5,0.937297
-2424,-0.00206012,-904,0.937823
-2421,-0.00203788,-903.5,0.938346
-2418,-0.00201547,-903,0.938867
-2415,-0.00199291,-902.5,0.939384
-2412,-0.00197018,-902,0.939898
-2409,-0.00194728,-901.5,0.940409
-2406,-0.00192422,-901,0.940917
-2403,-0.00190099,-900.5,0.941421
-2400,-0.00187759,-900,0.941923
-2397,-0.00185401,-899.5,0.942422
-2394,-0.00183026,-899,0.942918
-2391,-0.00180634,-898.5,0.943411
-2388,-0.00178223,-898,0.9439
-2385,-0.00175794,-897.5,0.944387
-2382,-0.00173348,-897,0.944871
-2379,-0.00170882,-896.5,0.945352
-2376,-0.00168398,-896,0.945829
-2373,-0.00165895,-895.5,0.946304
-2370,-0.00163373,-895,0.946776
-2367,-0.00160832,-894.5,0.947245
-2364,-0.0015827,-894,0.947711
-2361,-0.0015569,-893.5,0.948174
-2358,-0.00153089,-893,0.948634
-2355,-0.00150467,-892.5,0.949091
-2352,-0.00147826,-892,0.949545
-2349,-0.00145163,-891.5,0.949996
-2346,-0.0014248,-891,0.950445
-2343,-0.00139775,-890.5,0.95089
-2340,-0.00137049,-890,0.951333
-2337,-0.00134301,-889.5,0.951772
-2334,-0.00131531,-889,0.952209
-2331,-0.00128739,-888.5,0.952643
-2328,-0.00125924,-888,0.953074
-2325,-0.00123087,-887.5,0.953503
-2322,-0.00120226,-887,0.953928
-2319,-0.00117342,-886.5,0.954351
-2316,-0.00114435,-886,0.95477
-2313,-0.00111504,-885.5,0.955187
-2310,-0.00108548,-885,0.955602
-2307,-0.00105568,-884.5,0.956013
-2304,-0.00102563,-884,0.956421
-2301,-0.000995337,-883.5,0.956827
-2298,-0.000964785,-883,0.95723
-2295,-0.000933978,-882.5,0.95763
-2292,-0.00090291,-882,0.958028
-2289,-0.00087158,-881.5,0.958423
-2286,-0.000839983,-881,0.958815
-2283,-0.000808118,-880.5,0.959204
-2280,-0.000775979,-880,0.959591
-2277,-0.000743565,-879.5,0.959975
-2274,-0.000710872,-879,0.960356
-2271,-0.000677896,-878.5,0.960734
-2268,-0.000644634,-878,0.96111
-2265,-0.000611083,-877.5,0.961483
-2262,-0.000577238,-877,0.961854
-2259,-0.000543097,-876.5,0.962222
-2256,-0.000508655,-876,0.962587
-2253,-0.000473909,-875.5,0.962949
-2250,-0.000438855,-875,0.963309
-2247,-0.000403489,-874.5,0.963667
-2244,-0.000367808,-874,0.964021
-2241,-0.000331807,-873.5,0.964374
-2238,-0.000295482,-873,0.964723
-2235,-0.00025883,-872.5,0.96507
-2232,-0.000221846,-872,0.965415
-2229,-0.000184527,-871.5,0.965756
-2226,-0.000146867,-871,0.966096
-2223,-0.000108863,-870.5,0.966433
-2220,-7.05E-05,-870,0.966767
-2217,-3.18E-05,-869.5,0.967099
-2214,7.26E-06,-869,0.967428
-2211,4.67E-05,-868.5,0.967755
-2208,8.65E-05,-868,0.968079
-2205,0.000126643,-867.5,0.968401
-2202,0.000167183,-867,0.96872
-2199,0.000208105,-866.5,0.969037
-2196,0.000249412,-866,0.969352
-2193,0.00029111,-865.5,0.969664
-2190,0.000333205,-865,0.969974
-2187,0.0003757,-864.5,0.970281
-2184,0.000418601,-864,0.970586
-2181,0.000461914,-863.5,0.970888
-2178,0.000505644,-863,0.971188
-2175,0.000549796,-862.5,0.971486
-2172,0.000594375,-862,0.971781
-2169,0.000639388,-861.5,0.972075
-2166,0.00068484,-861,0.972365
-2163,0.000730737,-860.5,0.972654
-2160,0.000777084,-860,0.97294
-2157,0.000823888,-859.5,0.973224
-2154,0.000871154,-859,0.973505
-2151,0.000918889,-858.5,0.973784
-2148,0.000967099,-858,0.974061
-2145,0.00101579,-857.5,0.974336
-2142,0.00106497,-857,0.974608
-2139,0.00111464,-856.5,0.974879
-2136,0.00116481,-856,0.975147
-2133,0.00121549,-855.5,0.975412
-2130,0.00126669,-855,0.975676
-2127,0.0013184,-854.5,0.975937
-2124,0.00137065,-854,0.976197
-2121,0.00142343,-853.5,0.976454
-2118,0.00147675,-853,0.976709
-2115,0.00153062,-852.5,0.976961
-2112,0.00158504,-852,0.977212
-2109,0.00164004,-851.5,0.977461
-2106,0.0016956,-851,0.977707
-2103,0.00175175,-850.5,0.977951
-2100,0.00180848,-850,0.978193
-2097,0.00186581,-849.5,0.978434
-2094,0.00192374,-849,0.978672
-2091,0.00198229,-848.5,0.978908
-2088,0.00204145,-848,0.979141
-2085,0.00210125,-847.5,0.979373
-2082,0.00216168,-847,0.979603
-2079,0.00222277,-846.5,0.979831
-2076,0.0022845,-846,0.980057
-2073,0.00234691,-845.5,0.980281
-2070,0.00240998,-845,0.980503
-2067,0.00247375,-844.5,0.980723
-2064,0.0025382,-844,0.980941
-2061,0.00260336,-843.5,0.981157
-2058,0.00266923,-843,0.981371
-2055,0.00273583,-842.5,0.981583
-2052,0.00280316,-842,0.981793
-2049,0.00287123,-841.5,0.982002
-2046,0.00294005,-841,0.982208
-2043,0.00300965,-840.5,0.982413
-2040,0.00308001,-840,0.982615
-2037,0.00315117,-839.5,0.982816
-2034,0.00322312,-839,0.983015
-2031,0.00329588,-838.5,0.983212
-2028,0.00336947,-838,0.983408
-2025,0.00344388,-837.5,0.983601
-2022,0.00351914,-837,0.983793
-2019,0.00359526,-836.5,0.983983
-2016,0.00367225,-836,0.984171
-2013,0.00375012,-835.5,0.984358
-2010,0.00382888,-835,0.984542
-2007,0.00390856,-834.5,0.984725
-2004,0.00398915,-834,0.984906
-2001,0.00407068,-833.5,0.985086
-1998,0.00415316,-833,0.985264
-1995,0.0042366,-832.5,0.98544
-1992,0.00432102,-832,0.985614
-1989,0.00440642,-831.5,0.985787
-1986,0.00449284,-831,0.985958
-1983,0.00458027,-830.5,0.986127
-1980,0.00466874,-830,0.986295
-1977,0.00475826,-829.5,0.986461
-1974,0.00484884,-829,0.986625
-1971,0.00494051,-828.5,0.986788
-1968,0.00503328,-828,0.986949
-1965,0.00512716,-827.5,0.987109
-1962,0.00522217,-827,0.987267
-1959,0.00531834,-826.5,0.987423
-1956,0.00541567,-826,0.987578
-1953,0.00551418,-825.5,0.987732
-1950,0.00561389,-825,0.987883
-1947,0.00571482,-824.5,0.988034
-1944,0.005817,-824,0.988183
-1941,0.00592043,-823.5,0.98833
-1938,0.00602513,-823,0.988476
-1935,0.00613113,-822.5,0.98862
-1932,0.00623845,-822,0.988763
-1929,0.0063471,-821.5,0.988904
-1926,0.00645711,-821,0.989044
-1923,0.0065685,-820.5,0.989182
-1920,0.00668129,-820,0.989319
-1917,0.00679549,-819.5,0.989455
-1914,0.00691114,-819,0.989589
-1911,0.00702825,-818.5,0.989722
-1908,0.00714685,-818,0.989853
-1905,0.00726697,-817.5,0.989983
-1902,0.00738861,-817,0.990112
-1899,0.00751182,-816.5,0.990239
-1896,0.00763661,-816,0.990365
-1893,0.007763,-815.5,0.99049
-1890,0.00789103,-815,0.990613
-1887,0.00802072,-814.5,0.990735
-1884,0.0081521,-814,0.990856
-1881,0.00828518,-813.5,0.990975
-1878,0.00842001,-813,0.991093
-1875,0.0085566,-812.5,0.99121
-1872,0.00869499,-812,0.991326
-1869,0.0088352,-811.5,0.99144
-1866,0.00897727,-811,0.991553
-1863,0.00912122,-810.5,0.991665
-1860,0.00926708,-810,0.991775
-1857,0.00941489,-809.5,0.991885
-1854,0.00956467,-809,0.991993
-1851,0.00971646,-808.5,0.9921
-1848,0.00987029,-808,0.992205
