z_mm__Bz_on_axis,Total_potential_T__Bz_on_axis
-2.599479999999999563e+03,1.182468044311947228e-03
-2.598960000000000036e+03,1.183977660448562062e-03
-2.598440000000000055e+03,1.185506058738561774e-03
-2.597919999999999618e+03,1.187015674875177259e-03
-2.597400000000000091e+03,1.188544364391792493e-03
-2.596880000000000109e+03,1.190073052508407170e-03
-2.596360000000000127e+03,1.191601770045022136e-03
-2.595840000000000146e+03,1.193149227935021888e-03
-2.595319999999999709e+03,1.194677916401637409e-03
-2.594800000000000182e+03,1.196206633588252615e-03
-2.594279999999999745e+03,1.197754422054867277e-03
-2.593759999999999764e+03,1.199301948014867185e-03
-2.593240000000000236e+03,1.200849736481482280e-03
-2.592719999999999800e+03,1.202378453668097704e-03
-2.592200000000000273e+03,1.203926242134712799e-03
-2.591680000000000291e+03,1.205493091251327647e-03
-2.591159999999999854e+03,1.207040589541327584e-03
-2.590640000000000327e+03,1.208588405677942651e-03
-2.590119999999999891e+03,1.210155295194557685e-03
-2.589599999999999909e+03,1.211722211331172760e-03
-2.589079999999999927e+03,1.213289100847788010e-03
-2.588559999999999945e+03,1.214855725757787780e-03
-2.588039999999999964e+03,1.216422586204403151e-03
-2.587519999999999982e+03,1.217989503741018133e-03
-2.587000000000000000e+03,1.219556352857633199e-03
-2.586480000000000473e+03,1.221142370394248189e-03
-2.585960000000000036e+03,1.222708967284248010e-03
-2.585439999999999600e+03,1.224294984820863000e-03
-2.584920000000000073e+03,1.225880972937478134e-03
-2.584400000000000091e+03,1.227466933384093297e-03
-2.583879999999999654e+03,1.229052978590707825e-03
-2.583360000000000127e+03,1.230638647810708116e-03
-2.582840000000000146e+03,1.232224693017323295e-03
-2.582320000000000164e+03,1.233829753463938248e-03
-2.581800000000000182e+03,1.235415759670553367e-03
-2.581279999999999745e+03,1.237020820117168537e-03
-2.580760000000000218e+03,1.238625674097168419e-03
-2.580239999999999782e+03,1.240230734543783589e-03
-2.579719999999999800e+03,1.241835850680398463e-03
-2.579200000000000273e+03,1.243440940197013730e-03
-2.578679999999999836e+03,1.245065156333628612e-03
-2.578159999999999854e+03,1.246669954623628573e-03
-2.577640000000000327e+03,1.248294170760243672e-03
-2.577119999999999891e+03,1.249899260276858722e-03
-2.576600000000000364e+03,1.251523448393473438e-03
-2.576079999999999927e+03,1.253147665930088661e-03
-2.575559999999999945e+03,1.254790954046703603e-03
-2.575039999999999964e+03,1.256414851286703641e-03
-2.574519999999999982e+03,1.258039029473319043e-03
-2.574000000000000000e+03,1.259682317939933745e-03
-2.573480000000000018e+03,1.261306535126548774e-03
-2.572960000000000036e+03,1.262949823593164126e-03
-2.572440000000000509e+03,1.264592849553164075e-03
-2.571920000000000073e+03,1.266236138019778993e-03
-2.571399999999999636e+03,1.267879455206394031e-03
-2.570880000000000109e+03,1.269522743673008732e-03
-2.570360000000000127e+03,1.271185131789624116e-03
-2.569839999999999691e+03,1.272828449326239564e-03
-2.569320000000000164e+03,1.274490546216239207e-03
-2.568800000000000182e+03,1.276153254972854168e-03
-2.568279999999999745e+03,1.277815643089469117e-03
-2.567760000000000218e+03,1.279478060626084140e-03
-2.567239999999999782e+03,1.281140448742699523e-03
-2.566720000000000255e+03,1.282821938259314171e-03
-2.566199999999999818e+03,1.284484063169314414e-03
-2.565679999999999836e+03,1.286165552685929279e-03
-2.565160000000000309e+03,1.287847068822544402e-03
-2.564639999999999873e+03,1.289528529269159387e-03
-2.564119999999999891e+03,1.291210074475774823e-03
-2.563600000000000364e+03,1.292891534922389809e-03
-2.563079999999999927e+03,1.294572788902389505e-03
-2.562559999999999491e+03,1.296254249349004708e-03
-2.562039999999999964e+03,1.297954894555619935e-03
-2.561519999999999982e+03,1.299655455002234929e-03
-2.561000000000000000e+03,1.301356100208849722e-03
-2.560480000000000018e+03,1.303056660655464933e-03
-2.559960000000000036e+03,1.304757014635465071e-03
-2.559440000000000055e+03,1.306457866302080219e-03
-2.558920000000000073e+03,1.308158482438695133e-03
-2.558400000000000091e+03,1.309878171955310014e-03
-2.557880000000000109e+03,1.311597888091925153e-03
-2.557359999999999673e+03,1.313298477608540026e-03
-2.556840000000000146e+03,1.315017902518540076e-03
-2.556320000000000164e+03,1.316737619705154929e-03
-2.555800000000000182e+03,1.318476408171770104e-03
-2.555279999999999745e+03,1.320196125358385607e-03
-2.554760000000000218e+03,1.321934913825000349e-03
-2.554240000000000236e+03,1.323654631011615202e-03
-2.553720000000000255e+03,1.325393419478230594e-03
-2.553199999999999818e+03,1.327131945438230149e-03
-2.552679999999999836e+03,1.328871025124845479e-03
-2.552159999999999854e+03,1.330609842311460556e-03
-2.551639999999999873e+03,1.332367730778075306e-03
-2.551119999999999891e+03,1.334106518894690721e-03
-2.550599999999999909e+03,1.335864436431305566e-03
-2.550079999999999927e+03,1.337603224547920331e-03
-2.549559999999999945e+03,1.339360850857920521e-03
-2.549039999999999964e+03,1.341118738974535511e-03
-2.548519999999999982e+03,1.342895756511150581e-03
-2.548000000000000000e+03,1.344653644627765571e-03
-2.547480000000000018e+03,1.346430662164380641e-03
-2.546960000000000036e+03,1.348188841500995785e-03
-2.546440000000000055e+03,1.349965859037610639e-03
-2.545920000000000073e+03,1.351742594927611042e-03
-2.545400000000000091e+03,1.353519612464226113e-03
-2.544880000000000109e+03,1.355293100580841218e-03
-2.544360000000000127e+03,1.357075745787456218e-03
-2.543839999999999691e+03,1.358839206234071194e-03
-2.543319999999999709e+03,1.360621822370686315e-03
-2.542800000000000182e+03,1.362384811887301433e-03
-2.542280000000000200e+03,1.364167136797301248e-03
-2.541759999999999764e+03,1.365950017533916049e-03
-2.541239999999999782e+03,1.367732633670531387e-03
-2.540720000000000255e+03,1.369533823187146305e-03
-2.540200000000000273e+03,1.371335539323761434e-03
-2.539679999999999836e+03,1.373117628840376343e-03
-2.539159999999999854e+03,1.374919344976991472e-03
-2.538639999999999873e+03,1.376720573493606667e-03
-2.538119999999999891e+03,1.378521998403606707e-03
-2.537599999999999909e+03,1.380323187920221625e-03
-2.537079999999999927e+03,1.382144295276836916e-03
-2.536559999999999945e+03,1.383945512463451806e-03
-2.536039999999999964e+03,1.385766300930066971e-03
-2.535519999999999982e+03,1.387586618116681868e-03
-2.535000000000000000e+03,1.389407406583296816e-03
-2.534480000000000018e+03,1.391227723769911714e-03
-2.533960000000000036e+03,1.393048012236526708e-03
-2.533440000000000055e+03,1.394887677196526756e-03
-2.532920000000000073e+03,1.396708256883141906e-03
-2.532400000000000091e+03,1.398547674069757028e-03
-2.531880000000000109e+03,1.400387062536371813e-03
-2.531360000000000127e+03,1.402226479722987152e-03
-2.530840000000000146e+03,1.404066368189602326e-03
-2.530320000000000164e+03,1.405905785376217231e-03
-2.529799999999999727e+03,1.407764301512832430e-03
-2.529279999999999745e+03,1.409622800959446903e-03
-2.528760000000000218e+03,1.411481346159447264e-03
-2.528240000000000236e+03,1.413320706606062318e-03
-2.527719999999999800e+03,1.415198351812677405e-03
-2.527199999999999818e+03,1.417056812259292467e-03
-2.526680000000000291e+03,1.418915357465907329e-03
-2.526160000000000309e+03,1.420792917912522399e-03
-2.525639999999999873e+03,1.422670602119137763e-03
-2.525119999999999891e+03,1.424529381805752495e-03
-2.524599999999999909e+03,1.426426098992367641e-03
-2.524079999999999927e+03,1.428303423902367543e-03
-2.523559999999999945e+03,1.430181013418982492e-03
-2.523039999999999964e+03,1.432077729555597707e-03
-2.522519999999999982e+03,1.433954819072212920e-03
-2.522000000000000000e+03,1.435851574208827763e-03
-2.521480000000000018e+03,1.437748554945442875e-03
-2.520960000000000036e+03,1.439645271082058090e-03
-2.520440000000000055e+03,1.441541460598673094e-03
-2.519920000000000073e+03,1.443457276735288100e-03
-2.519400000000000091e+03,1.445373093921903255e-03
-2.518880000000000109e+03,1.447288421388518180e-03
-2.518360000000000127e+03,1.449204238568518400e-03
-2.517840000000000146e+03,1.451119527035133264e-03
-2.517320000000000164e+03,1.453035344221748635e-03
