z_mm__Bz_on_axis,Total_potential_T__Bz_on_axis
-2.599479999999999563e+03,1.181915660017377519e-03
-2.598960000000000036e+03,1.183424799482129565e-03
-2.598440000000000055e+03,1.184952959832129109e-03
-2.597919999999999618e+03,1.186462099296882022e-03
-2.597400000000000091e+03,1.187990312141634251e-03
-2.596880000000000109e+03,1.189518523586386139e-03
-2.596360000000000127e+03,1.191046764451138534e-03
-2.595840000000000146e+03,1.192593984401138334e-03
-2.595319999999999709e+03,1.194122196195890849e-03
-2.594800000000000182e+03,1.195650436710643050e-03
-2.594279999999999745e+03,1.197197748505395140e-03
-2.593759999999999764e+03,1.198745036525394880e-03
-2.593240000000000236e+03,1.200292348320147187e-03
-2.592719999999999800e+03,1.201820588834900038e-03
-2.592200000000000273e+03,1.203367900629652128e-03
-2.591680000000000291e+03,1.204934273074404405e-03
-2.591159999999999854e+03,1.206481533424404390e-03
-2.590640000000000327e+03,1.208028872889156452e-03
-2.590119999999999891e+03,1.209595285733908480e-03
-2.589599999999999909e+03,1.211161725198661200e-03
-2.589079999999999927e+03,1.212728138043413662e-03
-2.588559999999999945e+03,1.214294525013413263e-03
-2.588039999999999964e+03,1.215860908788165629e-03
-2.587519999999999982e+03,1.217427349652917823e-03
-2.587000000000000000e+03,1.218993722097670099e-03
-2.586480000000000473e+03,1.220579262962422301e-03
-2.585960000000000036e+03,1.222145621912422171e-03
-2.585439999999999600e+03,1.223731162777174373e-03
-2.584920000000000073e+03,1.225316674221926718e-03
-2.584400000000000091e+03,1.226902157996678875e-03
-2.583879999999999654e+03,1.228487726531431049e-03
-2.583360000000000127e+03,1.230073157811431171e-03
-2.582840000000000146e+03,1.231658726346183562e-03
-2.582320000000000164e+03,1.233263310120935726e-03
-2.581800000000000182e+03,1.234848839655687839e-03
-2.581279999999999745e+03,1.236453423430440221e-03
-2.580760000000000218e+03,1.238058039470440368e-03
-2.580239999999999782e+03,1.239662623245192533e-03
-2.579719999999999800e+03,1.241267262709944618e-03
-2.579200000000000273e+03,1.242871875554697097e-03
-2.578679999999999836e+03,1.244495615019449190e-03
