z_mm__Bz_on_axis,Total_potential_T__Bz_on_axis
-2.599479999999999563e+03,1.181918275207414701e-03
-2.598960000000000036e+03,1.183427417139327120e-03
-2.598440000000000055e+03,1.184955577489326881e-03
-2.597919999999999618e+03,1.186464719421239950e-03
-2.597400000000000091e+03,1.187992934733152553e-03
-2.596880000000000109e+03,1.189521148645065031e-03
-2.596360000000000127e+03,1.191049391976977800e-03
-2.595840000000000146e+03,1.192596611926977600e-03
-2.595319999999999709e+03,1.194124826188890489e-03
-2.594800000000000182e+03,1.195653069170803280e-03
-2.594279999999999745e+03,1.197200383432715743e-03
-2.593759999999999764e+03,1.198747671452715484e-03
-2.593240000000000236e+03,1.200294985714628164e-03
-2.592719999999999800e+03,1.201823228696541172e-03
-2.592200000000000273e+03,1.203370542958454069e-03
-2.591680000000000291e+03,1.204936917870366503e-03
-2.591159999999999854e+03,1.206484178220366488e-03
-2.590640000000000327e+03,1.208031520152278923e-03
-2.590119999999999891e+03,1.209597935464191542e-03
-2.589599999999999909e+03,1.211164377396104636e-03
-2.589079999999999927e+03,1.212730792708017254e-03
-2.588559999999999945e+03,1.214297179678017072e-03
-2.588039999999999964e+03,1.215863565919929811e-03
-2.587519999999999982e+03,1.217430009251842596e-03
-2.587000000000000000e+03,1.218996384163755029e-03
-2.586480000000000473e+03,1.220581927495667822e-03
-2.585960000000000036e+03,1.222148286445667691e-03
-2.585439999999999600e+03,1.223733829777580266e-03
-2.584920000000000073e+03,1.225319343689492985e-03
-2.584400000000000091e+03,1.226904829931405516e-03
-2.583879999999999654e+03,1.228490400933318280e-03
-2.583360000000000127e+03,1.230075832213318185e-03
-2.582840000000000146e+03,1.231661403215230949e-03
-2.582320000000000164e+03,1.233265989457143488e-03
-2.581800000000000182e+03,1.234851521459056408e-03
-2.581279999999999745e+03,1.236456107700969163e-03
-2.580760000000000218e+03,1.238060723740969093e-03
-2.580239999999999782e+03,1.239665309982881632e-03
-2.579719999999999800e+03,1.241269951914794308e-03
-2.579200000000000273e+03,1.242874567226707160e-03
-2.578679999999999836e+03,1.244498309158619627e-03
-2.578159999999999854e+03,1.246102869508619853e-03
-2.577640000000000327e+03,1.247726611440532320e-03
-2.577119999999999891e+03,1.249331226752444738e-03
-2.576600000000000364e+03,1.250954940664357473e-03
-2.576079999999999927e+03,1.252578683996270065e-03
-2.575559999999999945e+03,1.254221497908182591e-03
-2.575039999999999964e+03,1.255845157208182678e-03
-2.574519999999999982e+03,1.257468861190095665e-03
-2.574000000000000000e+03,1.259111675452007952e-03
-2.573480000000000018e+03,1.260735418433920566e-03
-2.572960000000000036e+03,1.262378232695833503e-03
-2.572440000000000509e+03,1.264021020715833717e-03
-2.571920000000000073e+03,1.265663834977746221e-03
-2.571399999999999636e+03,1.267306677959658843e-03
-2.570880000000000109e+03,1.268949492221571130e-03
-2.570360000000000127e+03,1.270611406133484098e-03
-2.569839999999999691e+03,1.272254249465396914e-03
-2.569320000000000164e+03,1.273916108415396823e-03
-2.568800000000000182e+03,1.275578105027309200e-03
-2.568279999999999745e+03,1.277240018939221951e-03
-2.567760000000000218e+03,1.278901962271134342e-03
-2.567239999999999782e+03,1.280563876183047527e-03
-2.566720000000000255e+03,1.282244891494959977e-03
-2.566199999999999818e+03,1.283906778464960052e-03
-2.565679999999999836e+03,1.285587793776872502e-03
-2.565160000000000309e+03,1.287268835708784993e-03
-2.564639999999999873e+03,1.288949821950697780e-03
-2.564119999999999891e+03,1.290630892952610801e-03
-2.563600000000000364e+03,1.292311879194523372e-03
-2.563079999999999927e+03,1.293992895234523117e-03
-2.562559999999999491e+03,1.295673881476436121e-03
-2.562039999999999964e+03,1.297374052478348716e-03
-2.561519999999999982e+03,1.299074138720261512e-03
-2.561000000000000000e+03,1.300774309722173890e-03
-2.560480000000000018e+03,1.302474395964086686e-03
-2.559960000000000036e+03,1.304174512004086873e-03
-2.559440000000000055e+03,1.305874651525999438e-03
-2.558920000000000073e+03,1.307574793457912153e-03
-2.558400000000000091e+03,1.309294008769824836e-03
-2.557880000000000109e+03,1.311013250701737127e-03
-2.557359999999999673e+03,1.312713366013649801e-03
-2.556840000000000146e+03,1.314432552983650117e-03
-2.556320000000000164e+03,1.316151795965562338e-03
-2.555800000000000182e+03,1.317890110227475098e-03
-2.555279999999999745e+03,1.319609353209387969e-03
-2.554760000000000218e+03,1.321347667471300513e-03
-2.554240000000000236e+03,1.323066910453213167e-03
-2.553720000000000255e+03,1.324805224715126144e-03
-2.553199999999999818e+03,1.326543512735125748e-03
-2.552679999999999836e+03,1.328281880277038494e-03
