z_mm__Bz_on_axis,Total_potential_T__Bz_on_axis
-2.599479999999999563e+03,1.182000652782876689e-03
-2.598960000000000036e+03,1.183509864793407581e-03
-2.598440000000000055e+03,1.185038066023407031e-03
-2.597919999999999618e+03,1.186547278033938573e-03
-2.597400000000000091e+03,1.188075563424469648e-03
-2.596880000000000109e+03,1.189603847415000382e-03
-2.596360000000000127e+03,1.191132160825531406e-03
-2.595840000000000146e+03,1.192679421655531112e-03
-2.595319999999999709e+03,1.194207705996062257e-03
-2.594800000000000182e+03,1.195736019056593520e-03
-2.594279999999999745e+03,1.197283403397124456e-03
-2.593759999999999764e+03,1.198830732297124320e-03
-2.593240000000000236e+03,1.200378116637655255e-03
-2.592719999999999800e+03,1.201906429698186953e-03
-2.592200000000000273e+03,1.203453814038717672e-03
-2.591680000000000291e+03,1.205020259029248577e-03
-2.591159999999999854e+03,1.206567560259248469e-03
-2.590640000000000327e+03,1.208114972269779593e-03
-2.590119999999999891e+03,1.209681457660310685e-03
-2.589599999999999909e+03,1.211247969670841817e-03
-2.589079999999999927e+03,1.212814455061372908e-03
-2.588559999999999945e+03,1.214380882911372632e-03
-2.588039999999999964e+03,1.215947339231903844e-03
-2.587519999999999982e+03,1.217513852642434884e-03
-2.587000000000000000e+03,1.219080297632965789e-03
-2.586480000000000473e+03,1.220665911043497054e-03
-2.585960000000000036e+03,1.222232310873496829e-03
-2.585439999999999600e+03,1.223817924284027877e-03
-2.584920000000000073e+03,1.225403508274558852e-03
-2.584400000000000091e+03,1.226989064595089855e-03
-2.583879999999999654e+03,1.228574705675620658e-03
-2.583360000000000127e+03,1.230160177835620686e-03
-2.582840000000000146e+03,1.231745818916151923e-03
-2.582320000000000164e+03,1.233350475236682717e-03
-2.581800000000000182e+03,1.234936077317214109e-03
-2.581279999999999745e+03,1.236540733637745120e-03
-2.580760000000000218e+03,1.238145390557744956e-03
-2.580239999999999782e+03,1.239750046878275967e-03
-2.579719999999999800e+03,1.241354758888806899e-03
-2.579200000000000273e+03,1.242959444279338223e-03
-2.578679999999999836e+03,1.244583256289869162e-03
-2.578159999999999854e+03,1.246187857519869078e-03
-2.577640000000000327e+03,1.247811669530400017e-03
-2.577119999999999891e+03,1.249416354920930908e-03
-2.576600000000000364e+03,1.251040138911461898e-03
-2.576079999999999927e+03,1.252663952321992962e-03
-2.575559999999999945e+03,1.254306836312523744e-03
-2.575039999999999964e+03,1.255930536492523954e-03
-2.574519999999999982e+03,1.257554310553055197e-03
-2.574000000000000000e+03,1.259197194893585956e-03
-2.573480000000000018e+03,1.260821007954117043e-03
-2.572960000000000036e+03,1.262463892294648019e-03
-2.572440000000000509e+03,1.264106721194648139e-03
-2.571920000000000073e+03,1.265749605535179331e-03
-2.571399999999999636e+03,1.267392518595710210e-03
-2.570880000000000109e+03,1.269035402936240968e-03
-2.570360000000000127e+03,1.270697386926771975e-03
-2.569839999999999691e+03,1.272340300337303481e-03
-2.569320000000000164e+03,1.274002200167303296e-03
-2.568800000000000182e+03,1.275664307737834268e-03
-2.568279999999999745e+03,1.277326291728365275e-03
-2.567760000000000218e+03,1.278988305138896138e-03
-2.567239999999999782e+03,1.280650289129427145e-03
-2.566720000000000255e+03,1.282331374519958067e-03
-2.566199999999999818e+03,1.283993302369958048e-03
-2.565679999999999836e+03,1.285674387760488971e-03
-2.565160000000000309e+03,1.287355499771020151e-03
-2.564639999999999873e+03,1.289036556091551194e-03
-2.564119999999999891e+03,1.290717697172082687e-03
-2.563600000000000364e+03,1.292398753492613296e-03
-2.563079999999999927e+03,1.294079810412613165e-03
-2.562559999999999491e+03,1.295760866733144424e-03
-2.562039999999999964e+03,1.297461107813675275e-03
-2.561519999999999982e+03,1.299161264134206326e-03
-2.561000000000000000e+03,1.300861505214737611e-03
-2.560480000000000018e+03,1.302561661535268662e-03
-2.559960000000000036e+03,1.304261818455268755e-03
-2.559440000000000055e+03,1.305962068935799482e-03
-2.558920000000000073e+03,1.307662280946330670e-03
-2.558400000000000091e+03,1.309381566336861391e-03
-2.557880000000000109e+03,1.311100878347392588e-03
-2.557359999999999673e+03,1.312801063737923735e-03
-2.556840000000000146e+03,1.314520291587923956e-03
-2.556320000000000164e+03,1.316239604648454433e-03
-2.555800000000000182e+03,1.317977988988985449e-03
-2.555279999999999745e+03,1.319697302049516576e-03
-2.554760000000000218e+03,1.321435686390047591e-03
-2.554240000000000236e+03,1.323154999450578502e-03
-2.553720000000000255e+03,1.324893383791109734e-03
-2.553199999999999818e+03,1.326631712691109461e-03
-2.552679999999999836e+03,1.328370191191640586e-03
-2.552159999999999854e+03,1.330108604252171721e-03
-2.551639999999999873e+03,1.331866088592702311e-03
-2.551119999999999891e+03,1.333604472583233783e-03
-2.550599999999999909e+03,1.335361985993764686e-03
-2.550079999999999927e+03,1.337100369984295508e-03
-2.549559999999999945e+03,1.338857799234295654e-03
-2.549039999999999964e+03,1.340615283224826700e-03
-2.548519999999999982e+03,1.342391896635357611e-03
-2.548000000000000000e+03,1.344149380625888441e-03
-2.547480000000000018e+03,1.345925994036419786e-03
-2.546960000000000036e+03,1.347683572186950725e-03
-2.546440000000000055e+03,1.349460185597481637e-03
-2.545920000000000073e+03,1.351236724427481561e-03
-2.545400000000000091e+03,1.353013337838012906e-03
-2.544880000000000109e+03,1.354786421828544285e-03
-2.544360000000000127e+03,1.356568662909075126e-03
-2.543839999999999691e+03,1.358331719229605942e-03
-2.543319999999999709e+03,1.360113931240137120e-03
-2.542800000000000182e+03,1.361876516630668079e-03
-2.542280000000000200e+03,1.363658644480668066e-03
-2.541759999999999764e+03,1.365440924031198662e-03
-2.541239999999999782e+03,1.367223136041730057e-03
-2.540720000000000255e+03,1.369023921432261032e-03
-2.540200000000000273e+03,1.370825233442792218e-03
-2.539679999999999836e+03,1.372606918833322968e-03
-2.539159999999999854e+03,1.374408230843853938e-03
-2.538639999999999873e+03,1.376209055234384974e-03
-2.538119999999999891e+03,1.378010283084384969e-03
-2.537599999999999909e+03,1.379811068474916160e-03
-2.537079999999999927e+03,1.381631574645447464e-03
-2.536559999999999945e+03,1.383432387705978194e-03
-2.536039999999999964e+03,1.385252772046509200e-03
-2.535519999999999982e+03,1.387072685107040371e-03
-2.535000000000000000e+03,1.388893069447570943e-03
-2.534480000000000018e+03,1.390712982508101898e-03
-2.533960000000000036e+03,1.392532866848632950e-03
-2.533440000000000055e+03,1.394372334748632735e-03
-2.532920000000000073e+03,1.396192313249164331e-03
-2.532400000000000091e+03,1.398031326309695076e-03
-2.531880000000000109e+03,1.399870310650225920e-03
-2.531360000000000127e+03,1.401709323710757316e-03
-2.530840000000000146e+03,1.403548808051288330e-03
-2.530320000000000164e+03,1.405387821111819292e-03
-2.529799999999999727e+03,1.407245933122350332e-03
-2.529279999999999745e+03,1.409104028442881079e-03
-2.528760000000000218e+03,1.410962179522881350e-03
-2.528240000000000236e+03,1.412801135843412678e-03
-2.527719999999999800e+03,1.414678376923943388e-03
-2.527199999999999818e+03,1.416536433244474508e-03
-2.526680000000000291e+03,1.418394574325005210e-03
-2.526160000000000309e+03,1.420271730645536121e-03
-2.525639999999999873e+03,1.422149010726067543e-03
-2.525119999999999891e+03,1.424007189226598503e-03
-2.524599999999999909e+03,1.425903502287129490e-03
-2.524079999999999927e+03,1.427780630137129346e-03
-2.523559999999999945e+03,1.429657815527660353e-03
-2.523039999999999964e+03,1.431554127538191409e-03
-2.522519999999999982e+03,1.433430812928722462e-03
-2.522000000000000000e+03,1.435327163939253362e-03
-2.521480000000000018e+03,1.437223543489784703e-03
-2.520960000000000036e+03,1.439119855500315759e-03
-2.520440000000000055e+03,1.441015640890846604e-03
-2.519920000000000073e+03,1.442931052901377667e-03
-2.519400000000000091e+03,1.444846465961908879e-03
-2.518880000000000109e+03,1.446761389302439645e-03
-2.518360000000000127e+03,1.448676812362439774e-03
-2.517840000000000146e+03,1.450591696702970912e-03
-2.517320000000000164e+03,1.452507109763502124e-03
-2.516800000000000182e+03,1.454421994104032612e-03
-2.516279999999999745e+03,1.456356546164563675e-03
-2.515759999999999764e+03,1.458290530505094388e-03
-2.515239999999999782e+03,1.460206065745625658e-03
-2.514720000000000255e+03,1.462140049736156393e-03
-2.514199999999999818e+03,1.464074563146687807e-03
-2.513679999999999836e+03,1.466027686137218611e-03
-2.513159999999999854e+03,1.467962199547749591e-03
-2.512640000000000327e+03,1.469915283538280552e-03
-2.512119999999999891e+03,1.471868406948280937e-03
-2.511599999999999909e+03,1.473821490938811898e-03
-2.511079999999999927e+03,1.475775171019342701e-03
-2.510559999999999945e+03,1.477747327339873915e-03
-2.510039999999999964e+03,1.479700468420404921e-03
-2.509519999999999982e+03,1.481672624740935917e-03
-2.509000000000000000e+03,1.483645459981466777e-03
-2.508480000000000018e+03,1.485617655301998052e-03
-2.507960000000000036e+03,1.487589896382528849e-03
-2.507440000000000055e+03,1.489562108393059983e-03
-2.506920000000000073e+03,1.491534293783590643e-03
-2.506399999999999636e+03,1.493525738954121738e-03
-2.505880000000000109e+03,1.495539024344652969e-03
-2.505360000000000127e+03,1.497530336355183895e-03
-2.504840000000000146e+03,1.499521537585183804e-03
-2.504319999999999709e+03,1.501512888595715007e-03
-2.503800000000000182e+03,1.503523395816246198e-03
-2.503280000000000200e+03,1.505514709226777031e-03
-2.502760000000000218e+03,1.507525093217308449e-03
-2.502239999999999782e+03,1.509535045627839181e-03
-2.501719999999999800e+03,1.511545457638369897e-03
-2.501199999999999818e+03,1.513555937188901333e-03
-2.500680000000000291e+03,1.515585449199432057e-03
-2.500159999999999854e+03,1.517614501259963037e-03
-2.499639999999999873e+03,1.519643985600494223e-03
-2.499119999999999891e+03,1.521673498661025312e-03
-2.498600000000000364e+03,1.523702577161556437e-03
-2.498079999999999927e+03,1.525732129222087154e-03
-2.497559999999999945e+03,1.527780713562618131e-03
-2.497039999999999964e+03,1.529809726623149266e-03
-2.496519999999999982e+03,1.531858338633679999e-03
-2.496000000000000000e+03,1.533906585204211290e-03
-2.495480000000000018e+03,1.535955085034211099e-03
-2.494960000000000036e+03,1.538022298444742444e-03
-2.494440000000000055e+03,1.540070921435273289e-03
-2.493920000000000073e+03,1.542138256675804281e-03
-2.493400000000000091e+03,1.544205912996335318e-03
-2.492880000000000109e+03,1.546273154076866418e-03
-2.492359999999999673e+03,1.548340349397397345e-03
-2.491840000000000146e+03,1.550427190477928624e-03
-2.491320000000000164e+03,1.552494468978459548e-03
-2.490800000000000182e+03,1.554580821038990552e-03
-2.490279999999999745e+03,1.556667662119521397e-03
-2.489760000000000218e+03,1.558753918440052271e-03
-2.489240000000000236e+03,1.560840392680583333e-03
-2.488720000000000255e+03,1.562945749001114432e-03
-2.488199999999999818e+03,1.565032090081645757e-03
-2.487679999999999836e+03,1.567137541092176621e-03
-2.487159999999999854e+03,1.569243520642707446e-03
-2.486639999999999873e+03,1.571348932653238465e-03
-2.486119999999999891e+03,1.573473457043769730e-03
-2.485599999999999909e+03,1.575578869054300533e-03
-2.485079999999999927e+03,1.577703476274831601e-03
-2.484559999999999945e+03,1.579827999615362501e-03
-2.484039999999999964e+03,1.581952512675893893e-03
-2.483519999999999982e+03,1.584076497016424345e-03
-2.483000000000000000e+03,1.586201171256955639e-03
-2.482480000000000018e+03,1.588344755247486076e-03
-2.481960000000000036e+03,1.590488368658017669e-03
-2.481440000000000055e+03,1.592632020718548914e-03
-2.480920000000000073e+03,1.594775699219079437e-03
-2.480400000000000091e+03,1.596918812279610666e-03
-2.479880000000000109e+03,1.599081563290141771e-03
-2.479360000000000127e+03,1.601225176700672714e-03
-2.478839999999999691e+03,1.603387454851203531e-03
-2.478319999999999709e+03,1.605550123101203135e-03
-2.477800000000000182e+03,1.607731907091734455e-03
-2.477280000000000200e+03,1.609894187172265919e-03
-2.476759999999999764e+03,1.612076037652796509e-03
-2.476239999999999782e+03,1.614238278733328346e-03
-2.475720000000000255e+03,1.616420131143858499e-03
-2.475200000000000273e+03,1.618601509294389758e-03
-2.474679999999999836e+03,1.620802450374920481e-03
-2.474159999999999854e+03,1.622983745695451719e-03
-2.473639999999999873e+03,1.625184686775983092e-03
-2.473119999999999891e+03,1.627385203926513769e-03
-2.472599999999999909e+03,1.629585617337045000e-03
-2.472079999999999927e+03,1.631786529347575843e-03
-2.471559999999999945e+03,1.634006053738106977e-03
-2.471039999999999964e+03,1.636206559908638626e-03
-2.470519999999999982e+03,1.638426611969168818e-03
-2.470000000000000000e+03,1.640646125379700056e-03
-2.469480000000000018e+03,1.642865731550230629e-03
-2.468960000000000036e+03,1.645104355940761988e-03
-2.468440000000000055e+03,1.647323867951292885e-03
-2.467920000000000073e+03,1.649562520011823349e-03
-2.467400000000000091e+03,1.651801198512354392e-03
-2.466880000000000109e+03,1.654040350572885459e-03
-2.466360000000000127e+03,1.656298062583416372e-03
-2.465840000000000146e+03,1.658536770153948162e-03
-2.465320000000000164e+03,1.660794577305009729e-03
-2.464799999999999727e+03,1.663051790715540813e-03
-2.464279999999999745e+03,1.665309636936071827e-03
-2.463760000000000218e+03,1.667567348946602740e-03
-2.463240000000000236e+03,1.669844201357134064e-03
-2.462719999999999800e+03,1.672101885347665028e-03
-2.462199999999999818e+03,1.674378820588195505e-03
-2.461680000000000291e+03,1.676655615908726566e-03
-2.461160000000000309e+03,1.678951056989258072e-03
-2.460639999999999873e+03,1.681228003559789288e-03
-2.460119999999999891e+03,1.683523887550319835e-03
-2.459599999999999909e+03,1.685819367630851618e-03
-2.459079999999999927e+03,1.688096218111382728e-03
-2.458559999999999945e+03,1.690411298191913823e-03
-2.458039999999999964e+03,1.692725810202445023e-03
-2.457519999999999982e+03,1.695021828752974998e-03
-2.457000000000000000e+03,1.697336340763505981e-03
-2.456480000000000018e+03,1.699651365154037589e-03
-2.455960000000000036e+03,1.701966000394568562e-03
-2.455440000000000055e+03,1.704300151405099568e-03
-2.454920000000000073e+03,1.706614636795630293e-03
-2.454400000000000091e+03,1.708948881966161409e-03
-2.453880000000000109e+03,1.711282495026692331e-03
-2.453360000000000127e+03,1.713616118367223195e-03
-2.452840000000000146e+03,1.715969453607754571e-03
-2.452320000000000164e+03,1.718303105668285338e-03
-2.451800000000000182e+03,1.720655790008816365e-03
-2.451279999999999745e+03,1.723009136229347420e-03
-2.450759999999999764e+03,1.725380948239878210e-03
-2.450239999999999782e+03,1.727733700650409179e-03
-2.449720000000000255e+03,1.730105578800940347e-03
-2.449199999999999818e+03,1.732477431211471540e-03
-2.448679999999999836e+03,1.734849244272002261e-03
-2.448159999999999854e+03,1.737221273603064631e-03
-2.447640000000000327e+03,1.739593087013594896e-03
-2.447119999999999891e+03,1.741984010004126024e-03
-2.446599999999999909e+03,1.744375045244657679e-03
-2.446079999999999927e+03,1.746765968585188783e-03
-2.445559999999999945e+03,1.749156881645719946e-03
-2.445039999999999964e+03,1.751567055886250586e-03
-2.444519999999999982e+03,1.753977012206781689e-03
-2.444000000000000000e+03,1.756387092287312436e-03
-2.443480000000000018e+03,1.758797198457843786e-03
-2.442960000000000036e+03,1.761206722848375310e-03
-2.442440000000000055e+03,1.763616868018905420e-03
-2.441920000000000073e+03,1.766045981079437249e-03
-2.441399999999999636e+03,1.768475133489967599e-03
-2.440880000000000109e+03,1.770903839660498569e-03
-2.440360000000000127e+03,1.773352064051029846e-03
-2.439840000000000146e+03,1.775781176061560660e-03
-2.439319999999999709e+03,1.778229050302091796e-03
-2.438800000000000182e+03,1.780677358853153831e-03
-2.438280000000000200e+03,1.783125165023685460e-03
-2.437760000000000218e+03,1.785592517084215632e-03
-2.437239999999999782e+03,1.788040201424746529e-03
-2.436719999999999800e+03,1.790507675665277626e-03
-2.436199999999999818e+03,1.792974527725808495e-03
-2.435680000000000291e+03,1.795441312066340051e-03
-2.435159999999999854e+03,1.797927886306870289e-03
-2.434639999999999873e+03,1.800413770297401659e-03
-2.434119999999999891e+03,1.802899816867933056e-03
-2.433600000000000364e+03,1.805386200858463295e-03
-2.433079999999999927e+03,1.807872180938995856e-03
-2.432559999999999945e+03,1.810377327509526393e-03
-2.432039999999999964e+03,1.812882395660588529e-03
-2.431519999999999982e+03,1.815387569901119038e-03
-2.431000000000000000e+03,1.817893093241650191e-03
-2.430480000000000018e+03,1.820398106302181015e-03
-2.429960000000000036e+03,1.822922380542712183e-03
-2.429440000000000055e+03,1.825446436863242946e-03
-2.428920000000000073e+03,1.827970711103774114e-03
-2.428400000000000091e+03,1.830494862114305076e-03
-2.427880000000000109e+03,1.833038047504836161e-03
-2.427359999999999673e+03,1.835562321745367329e-03
-2.426840000000000146e+03,1.838105072755898128e-03
-2.426320000000000164e+03,1.840648436466960514e-03
-2.425800000000000182e+03,1.843210787477491492e-03
-2.425279999999999745e+03,1.845773261718022243e-03
-2.424760000000000218e+03,1.848335574778552657e-03
-2.424240000000000236e+03,1.850897898119084313e-03
-2.423720000000000255e+03,1.853459872359615110e-03
-2.423199999999999818e+03,1.856041256350145869e-03
-2.422679999999999836e+03,1.858603702920677515e-03
-2.422159999999999854e+03,1.861184654981208478e-03
-2.421639999999999873e+03,1.863766066991739403e-03
-2.421119999999999891e+03,1.866366297722801002e-03
-2.420599999999999909e+03,1.868947720713332256e-03
-2.420079999999999927e+03,1.871547855953863441e-03
-2.419559999999999945e+03,1.874148408364394343e-03
-2.419039999999999964e+03,1.876767625514925769e-03
-2.418519999999999982e+03,1.879368166595456581e-03
-2.418000000000000000e+03,1.881987413165987647e-03
-2.417480000000000018e+03,1.884606536156518530e-03
-2.416960000000000036e+03,1.887226177237050001e-03
-2.416440000000000055e+03,1.889864578898111302e-03
-2.415920000000000073e+03,1.892502830958642289e-03
-2.415400000000000091e+03,1.895141705199173288e-03
-2.414880000000000109e+03,1.897779917209704284e-03
-2.414360000000000127e+03,1.900418235760235625e-03
-2.413839999999999691e+03,1.903075586770766473e-03
-2.413319999999999709e+03,1.905733022011297682e-03
-2.412800000000000182e+03,1.908390346401829139e-03
-2.412280000000000200e+03,1.911047875732891288e-03
-2.411759999999999764e+03,1.913724327793421857e-03
-2.411239999999999782e+03,1.916381641203952768e-03
-2.410720000000000255e+03,1.919058186374483950e-03
-2.410200000000000273e+03,1.921753738435014744e-03
-2.409679999999999836e+03,1.924430283605545276e-03
-2.409159999999999854e+03,1.927125797016076419e-03
-2.408639999999999873e+03,1.929821527397138732e-03
-2.408119999999999891e+03,1.932517078407669378e-03
-2.407599999999999909e+03,1.935231324978201398e-03
-2.407079999999999927e+03,1.937926838038731914e-03
