z_mm__Bz_on_axis,Total_potential_T__Bz_on_axis
-2.599479999999999563e+03,1.182592236293323121e-03
-2.598960000000000036e+03,1.184101959169166088e-03
-2.598440000000000055e+03,1.185630413259165621e-03
-2.597919999999999618e+03,1.187140136135008588e-03
-2.597400000000000091e+03,1.188668932390851739e-03
-2.596880000000000109e+03,1.190197727246694115e-03
-2.596360000000000127e+03,1.191726551522536781e-03
-2.595840000000000146e+03,1.193274065212536787e-03
-2.595319999999999709e+03,1.194802860418379574e-03
-2.594800000000000182e+03,1.196331684344222263e-03
-2.594279999999999745e+03,1.197879579550065274e-03
-2.593759999999999764e+03,1.199427161310064787e-03
-2.593240000000000236e+03,1.200975056515907798e-03
-2.592719999999999800e+03,1.202503880441751138e-03
-2.592200000000000273e+03,1.204051775647593499e-03
-2.591680000000000291e+03,1.205618731503436481e-03
-2.591159999999999854e+03,1.207166285593436238e-03
-2.590640000000000327e+03,1.208714208469279005e-03
-2.590119999999999891e+03,1.210281204725121738e-03
-2.589599999999999909e+03,1.211848227600964513e-03
-2.589079999999999927e+03,1.213415223856807463e-03
-2.588559999999999945e+03,1.214981904566807269e-03
-2.588039999999999964e+03,1.216548871752650123e-03
-2.587519999999999982e+03,1.218115896028493022e-03
-2.587000000000000000e+03,1.219682851884335787e-03
-2.586480000000000473e+03,1.221268976160178260e-03
-2.585960000000000036e+03,1.222835628850178335e-03
-2.585439999999999600e+03,1.224421753126021025e-03
-2.584920000000000073e+03,1.226007847981863859e-03
-2.584400000000000091e+03,1.227593915167706721e-03
-2.583879999999999654e+03,1.229180067113549166e-03
-2.583360000000000127e+03,1.230765792133549277e-03
-2.582840000000000146e+03,1.232351944079392156e-03
-2.582320000000000164e+03,1.233957111265234809e-03
-2.581800000000000182e+03,1.235543224211077843e-03
-2.581279999999999745e+03,1.237148391396920497e-03
-2.580760000000000218e+03,1.238753301176920415e-03
-2.580239999999999782e+03,1.240358468362763285e-03
-2.579719999999999800e+03,1.241963691238605859e-03
-2.579200000000000273e+03,1.243568887494448825e-03
-2.578679999999999836e+03,1.245193210370291624e-03
-2.578159999999999854e+03,1.246798064460291622e-03
-2.577640000000000327e+03,1.248422387336134204e-03
-2.577119999999999891e+03,1.250027583591976953e-03
-2.576600000000000364e+03,1.251651878447819586e-03
-2.576079999999999927e+03,1.253276202723662509e-03
-2.575559999999999945e+03,1.254919597579504933e-03
-2.575039999999999964e+03,1.256543550619505008e-03
-2.574519999999999982e+03,1.258167835545348110e-03
-2.574000000000000000e+03,1.259811230751190511e-03
-2.573480000000000018e+03,1.261435554677033458e-03
-2.572960000000000036e+03,1.263078949882876292e-03
-2.572440000000000509e+03,1.264722031642876278e-03
-2.571920000000000073e+03,1.266365426848718896e-03
-2.571399999999999636e+03,1.268008850774561850e-03
