z_mm__Bz_on_axis,Total_potential_T__Bz_on_axis
-2.599479999999999563e+03,1.182596843372963214e-03
-2.598960000000000036e+03,1.184106570595107495e-03
-2.598440000000000055e+03,1.185635024685107244e-03
-2.597919999999999618e+03,1.187144751907251742e-03
-2.597400000000000091e+03,1.188673552509396207e-03
-2.596880000000000109e+03,1.190202351711540114e-03
-2.596360000000000127e+03,1.191731180333684310e-03
-2.595840000000000146e+03,1.193278694023684316e-03
-2.595319999999999709e+03,1.194807493575828633e-03
-2.594800000000000182e+03,1.196336321847973070e-03
-2.594279999999999745e+03,1.197884221400117395e-03
-2.593759999999999764e+03,1.199431803160117124e-03
-2.593240000000000236e+03,1.200979702712261666e-03
-2.592719999999999800e+03,1.202508530984406319e-03
-2.592200000000000273e+03,1.204056430536550428e-03
-2.591680000000000291e+03,1.205623390738694940e-03
-2.591159999999999854e+03,1.207170944828694697e-03
-2.590640000000000327e+03,1.208718872050838994e-03
-2.590119999999999891e+03,1.210285872652983258e-03
-2.589599999999999909e+03,1.211852899875127780e-03
-2.589079999999999927e+03,1.213419900477272044e-03
-2.588559999999999945e+03,1.214986581187272067e-03
-2.588039999999999964e+03,1.216553552719416452e-03
-2.587519999999999982e+03,1.218120581341560881e-03
-2.587000000000000000e+03,1.219687541543704960e-03
-2.586480000000000473e+03,1.221273670165849180e-03
-2.585960000000000036e+03,1.222840322855849255e-03
-2.585439999999999600e+03,1.224426451477993475e-03
-2.584920000000000073e+03,1.226012550680137840e-03
-2.584400000000000091e+03,1.227598622212282232e-03
-2.583879999999999654e+03,1.229184778504426208e-03
-2.583360000000000127e+03,1.230770503524426318e-03
-2.582840000000000146e+03,1.232356659816570945e-03
-2.582320000000000164e+03,1.233961831348715128e-03
-2.581800000000000182e+03,1.235547948640859693e-03
-2.581279999999999745e+03,1.237153120173003877e-03
-2.580760000000000218e+03,1.238758029953003796e-03
-2.580239999999999782e+03,1.240363201485148196e-03
-2.579719999999999800e+03,1.241968428707292300e-03
-2.579200000000000273e+03,1.243573629309436797e-03
-2.578679999999999836e+03,1.245197956531580909e-03
-2.578159999999999854e+03,1.246802810621580907e-03
-2.577640000000000327e+03,1.248427137843725020e-03
-2.577119999999999891e+03,1.250032338445869300e-03
-2.576600000000000364e+03,1.251656637648013680e-03
-2.576079999999999927e+03,1.253280966270158133e-03
-2.575559999999999945e+03,1.254924365472302088e-03
-2.575039999999999964e+03,1.256548318512302163e-03
-2.574519999999999982e+03,1.258172607784446796e-03
