z (mm) - Bz on axis,Total potential (T) - Bz on axis,z (mm) - Min |B| on wall,Total potential (T) - Min |B| on wall
-3000,-0.00466533,-1000,0.779155
-2997,-0.00465643,-999.5,0.780256
-2994,-0.0046475,-999,0.781354
-2991,-0.00463854,-998.5,0.782451
-2988,-0.00462956,-998,0.783545
-2985,-0.00462056,-997.5,0.784637
-2982,-0.00461153,-997,0.785727
-2979,-0.00460247,-996.5,0.786814
-2976,-0.00459338,-996,0.787899
-2973,-0.00458427,-995.5,0.788981
-2970,-0.00457513,-995,0.790061
-2967,-0.00456596,-994.5,0.791139
-2964,-0.00455677,-994,0.792214
-2961,-0.00454755,-993.5,0.793287
-2958,-0.0045383,-993,0.794358
-2955,-0.00452902,-992.5,0.795426
-2952,-0.00451971,-992,0.796492
-2949,-0.00451038,-991.5,0.797555
-2946,-0.00450102,-991,0.798615
-2943,-0.00449162,-990.5,0.799673
-2940,-0.0044822,-990,0.800729
-2937,-0.00447275,-989.5,0.801782
-2934,-0.00446327,-989,0.802833
-2931,-0.00445375,-988.5,0.803881
-2928,-0.00444421,-988,0.804926
-2925,-0.00443464,-987.5,0.805969
-2922,-0.00442503,-987,0.807009
-2919,-0.0044154,-986.5,0.808047
-2916,-0.00440573,-986,0.809082
-2913,-0.00439603,-985.5,0.810115
-2910,-0.0043863,-985,0.811145
-2907,-0.00437654,-984.5,0.812172
-2904,-0.00436674,-984,0.813196
-2901,-0.00435692,-983.5,0.814218
-2898,-0.00434705,-983,0.815237
-2895,-0.00433716,-982.5,0.816254
-2892,-0.00432723,-982,0.817268
-2889,-0.00431727,-981.5,0.818279
-2886,-0.00430727,-981,0.819287
-2883,-0.00429724,-980.5,0.820293
-2880,-0.00428717,-980,0.821296
-2877,-0.00427707,-979.5,0.822296
-2874,-0.00426693,-979,0.823293
-2871,-0.00425676,-978.5,0.824288
-2868,-0.00424655,-978,0.82528
-2865,-0.0042363,-977.5,0.826269
-2862,-0.00422602,-977,0.827255
-2859,-0.0042157,-976.5,0.828239
-2856,-0.00420534,-976,0.829219
-2853,-0.00419495,-975.5,0.830197
-2850,-0.00418451,-975,0.831172
-2847,-0.00417404,-974.5,0.832144
-2844,-0.00416353,-974,0.833113
-2841,-0.00415298,-973.5,0.834079
-2838,-0.00414239,-973,0.835043
-2835,-0.00413176,-972.5,0.836003
-2832,-0.00412109,-972,0.836961
-2829,-0.00411038,-971.5,0.837916
-2826,-0.00409963,-971,0.838868
-2823,-0.00408883,-970.5,0.839816
-2820,-0.004078,-970,0.840762
-2817,-0.00406712,-969.5,0.841705
-2814,-0.0040562,-969,0.842645
-2811,-0.00404524,-968.5,0.843582
-2808,-0.00403423,-968,0.844517
-2805,-0.00402318,-967.5,0.845448
-2802,-0.00401209,-967,0.846376
-2799,-0.00400095,-966.5,0.847301
-2796,-0.00398977,-966,0.848223
-2793,-0.00397854,-965.5,0.849142
-2790,-0.00396727,-965,0.850058
-2787,-0.00395595,-964.5,0.850971
-2784,-0.00394458,-964,0.851881
-2781,-0.00393317,-963.5,0.852788
-2778,-0.0039217,-963,0.853692
-2775,-0.0039102,-962.5,0.854593
-2772,-0.00389864,-962,0.855491
-2769,-0.00388703,-961.5,0.856386
-2766,-0.00387538,-961,0.857278
-2763,-0.00386367,-960.5,0.858166
-2760,-0.00385192,-960,0.859052
-2757,-0.00384011,-959.5,0.859934
-2754,-0.00382825,-959,0.860814
-2751,-0.00381634,-958.5,0.86169
-2748,-0.00380438,-958,0.862563
-2745,-0.00379237,-957.5,0.863433
-2742,-0.00378031,-957,0.8643
-2739,-0.00376819,-956.5,0.865163
-2736,-0.00375601,-956,0.866024
-2733,-0.00374378,-955.5,0.866882
-2730,-0.0037315,-955,0.867736
-2727,-0.00371916,-954.5,0.868587
-2724,-0.00370677,-954,0.869435
-2721,-0.00369431,-953.5,0.87028
-2718,-0.00368181,-953,0.871122
-2715,-0.00366924,-952.5,0.87196
-2712,-0.00365661,-952,0.872795
-2709,-0.00364393,-951.5,0.873627
-2706,-0.00363119,-951,0.874456
-2703,-0.00361838,-950.5,0.875282
-2700,-0.00360552,-950,0.876105
-2697,-0.0035926,-949.5,0.876924
-2694,-0.00357961,-949,0.87774
-2691,-0.00356656,-948.5,0.878553
-2688,-0.00355345,-948,0.879363
-2685,-0.00354027,-947.5,0.88017
-2682,-0.00352703,-947,0.880973
-2679,-0.00351373,-946.5,0.881773
-2676,-0.00350036,-946,0.88257
-2673,-0.00348692,-945.5,0.883364
-2670,-0.00347342,-945,0.884154
-2667,-0.00345985,-944.5,0.884941
-2664,-0.00344622,-944,0.885725
-2661,-0.00343251,-943.5,0.886506
-2658,-0.00341873,-943,0.887284
-2655,-0.00340489,-942.5,0.888058
-2652,-0.00339097,-942,0.888829
-2649,-0.00337698,-941.5,0.889597
-2646,-0.00336292,-941,0.890361
-2643,-0.00334879,-940.5,0.891123
-2640,-0.00333458,-940,0.891881
-2637,-0.0033203,-939.5,0.892636
-2634,-0.00330595,-939,0.893387
-2631,-0.00329152,-938.5,0.894135
-2628,-0.00327701,-938,0.89488
-2625,-0.00326243,-937.5,0.895622
-2622,-0.00324776,-937,0.896361
-2619,-0.00323302,-936.5,0.897096
