Run Number,Event Number,Plot Time (Time axis of TAPlot),Detector Time (detectors internal clock),OfficialTime (run time),CutsType0,CutsType1,CutsType2,Vertex Status,X,Y,Z,Number of Helices,Number of Tracks,Classifier Output
13685,796207,0.000522,12230.697522,12230.697522,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,8,-99.000000
13685,796208,0.014910,12230.711910,12230.711910,1, 1, 0, 3,-4.592095,38.173220,-72.502666,4,5,0.103165
13685,796209,0.037793,12230.734793,12230.734793,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,2,-99.000000
13685,796210,0.044173,12230.741173,12230.741173,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796211,0.052479,12230.749479,12230.749479,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796212,0.060563,12230.757563,12230.757563,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796213,0.097234,12230.794234,12230.794234,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796214,0.100818,12230.797818,12230.797818,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,2,-99.000000
13685,796215,0.119928,12230.816928,12230.816928,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796216,0.155548,12230.852548,12230.852548,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796217,0.159080,12230.856080,12230.856080,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796218,0.171551,12230.868551,12230.868551,0, 0, 0, -3,-9999999.000000,-9999999.000000,-9999999.000000,0,-1,-99.000000
13685,796219,0.182905,12230.879905,12230.879905,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796220,0.207409,12230.904409,12230.904409,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,0,-99.000000
13685,796221,0.229050,12230.926050,12230.926050,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,3,-99.000000
13685,796222,0.249909,12230.946909,12230.946909,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796223,0.275934,12230.972934,12230.972934,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,2,-99.000000
13685,796224,0.282306,12230.979306,12230.979306,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796225,0.287230,12230.984230,12230.984230,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,2,-99.000000
13685,796226,0.296950,12230.993950,12230.993950,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,2,-99.000000
13685,796227,0.305303,12231.002303,12231.002303,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796228,0.344653,12231.041653,12231.041653,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796229,0.362063,12231.059063,12231.059063,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796230,0.378154,12231.075154,12231.075154,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
