sequencer_name,event_description,start_time,stop_time,AD_INJECTION,AEX_WALPHA,ATM_BOTG_SEQ_RUNNING,ATM_BOTG_START_DUMP,ATM_BOTG_STOP_DUMP,BEAM_TO_ALPHA,BML_SEQ_RUNNING,BML_START_DUMP,BML_STOP_DUMP,CAT_SEQ_RUNNING,CAT_START_DUMP,CAT_STOP_DUMP,CB01_SYNC_IN,CB01_SYNC_OUT,CB03_SYNC_IN,CB03_SYNC_OUT,DIX_ALPHA,LYA_QPULSE,RCT_BOTG_SEQ_RUNNING,RCT_BOTG_START_DUMP,RCT_BOTG_STOP_DUMP,SIPM_ATDS,SIPM_ATUS,SIPM_BOTG_ASACUSA_TOP,SIPM_BOTG_LASER_BOTTOM,SIPM_BOTG_LASER_TOP,SIPM_BOTG_TOP_OR,SIPM_CTDS,SIPM_CT_AND,SIPM_CT_OR,SIPM_LDS,SIPM_UDS,trg_approx_input
atm_botg,Wait for Be Source,6.1389764,6.1409764,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cat,Waiting for CT Stick,7.9634384,7.9730958,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,1,0,0
cat,Load Electrons,7.9751058,16.0838064,0,0,0,0,0,1,0,0,0,0,1,1,468,468,468,468,0,406,0,0,0,98,251,810,901,747,1523,316,245,6422,883,532,666
cat,ELENA Pretrig Received,116.627674,116.62768,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cat,CRW1S1,116.627685,121.723399,0,0,0,0,0,0,0,0,0,0,1,1,290,290,290,290,0,255,0,0,0,17,19,297,292,284,581,27,1,686,244,164,373
cat,Ready For ELENA,126.7435398,126.743546,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cat,Beam Splash,127.9276774,127.9276784,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,5,2,3,4,2,1,2,3,2,1,0
cat,Hold,127.9286784,187.2026156,1,0,0,0,0,0,0,0,0,0,1,1,3251,3251,3251,3251,1,2964,0,0,0,256,476,4034,4893,4524,8432,536,17023,93269,3516,2649,4374
cat,Hot Dump,187.2036166,193.2046778,0,0,0,0,0,0,0,0,0,0,1,1,355,355,355,355,0,300,0,0,0,20,41,324,365,338,661,65,11673,70174,315,214,475
cat,Hold after pretrigger,193.2066778,231.8275792,0,1,0,0,0,0,0,0,0,0,1,1,2118,2118,2118,2118,0,1931,0,0,0,117,205,2038,2352,2110,4141,218,1131,10370,1819,1356,2841
cat,Ready For ELENA 2,236.84862,236.848626,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cat,2nd Beam Splash,243.1275834,243.1275844,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,2,1,2,4,2,3,2,3,1,2,0
cat,2nd Hold,243.1285844,273.1298286,1,0,0,0,0,0,0,0,0,0,1,1,1618,1618,1618,1618,0,1500,0,0,0,177,330,2533,3083,2881,5281,354,17179,87769,2265,1627,2212
cat,2nd Hot Dump,273.1308286,279.13289,0,0,0,0,0,0,0,0,0,0,1,1,323,323,323,323,0,300,0,0,0,25,35,341,380,299,639,64,11772,70350,296,224,426
cat,Tenth Dump,280.1409108,280.6429774,0,0,0,0,0,0,0,0,0,0,1,1,28,28,28,28,0,25,0,0,0,6,10,29,30,45,74,12,4109,15463,40,23,42
rct_botg,Load Electrons RCTB,285.2450176,297.3107656,0,0,0,0,0,0,0,0,0,0,3,2,636,636,636,636,0,603,0,1,1,34,75,655,694,628,1283,68,736,5072,640,420,824
cat,CRW1S3,285.246017,296.1707158,0,0,0,0,0,0,0,0,0,0,1,1,569,569,569,569,0,546,0,0,0,33,69,601,638,567,1168,60,685,4614,570,387,742
cat,Ekick1,296.1707658,296.9208224,0,0,0,0,0,0,0,0,0,0,1,1,44,44,44,44,0,38,0,0,0,1,4,38,40,48,86,2,32,310,38,21,55
cat,CRW1S2,296.9213802,302.7571878,0,0,0,0,0,0,0,0,0,0,1,1,325,325,325,325,1,292,0,1,1,15,34,327,344,321,647,40,321,2245,282,212,436
rct_botg,AgRW1S2,298.4511524,315.4852912,0,0,0,0,0,0,0,1,1,0,2,2,922,922,922,922,1,852,0,1,1,54,105,967,1066,921,1887,101,999,7113,810,609,1272
bml,BDSatPassThru,307.3992512,307.4023184,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cat,Ekick2,307.7577786,308.2588328,0,0,0,0,0,0,0,0,0,0,1,1,26,26,26,26,0,25,0,0,0,7,5,28,57,35,63,7,111,926,52,20,37
cat,Pbar cooling,308.2593828,318.2596682,0,0,0,0,0,0,0,0,0,0,1,1,516,516,516,516,0,500,0,0,1,31,68,550,637,545,1094,49,531,3661,471,336,707
cat,Ekick3,318.2597682,318.8608232,0,0,0,0,0,0,0,0,0,0,1,1,30,30,30,30,0,30,0,0,0,1,4,30,40,31,61,6,172,876,30,14,39
cat,Shuffle E4E16,318.8613732,320.3624754,0,0,0,0,0,0,0,0,0,0,1,1,84,84,84,84,0,75,0,0,0,3,13,93,86,89,182,6,148,1162,70,48,118
cat,Ready For XFER,320.3653676,320.3653736,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cat,Move OffAxis,320.3685228,320.5685794,0,0,0,0,0,0,0,0,0,0,1,1,10,10,10,10,0,10,0,0,0,0,0,10,11,22,32,2,46,480,16,7,14
cat,Pbar Transfer FSTLNE,320.6711302,321.675256,0,0,0,0,0,0,0,0,0,0,1,1,99,99,99,99,0,50,0,1,0,102,85,396,749,496,757,62,68,1156,1240,201,420
rct_botg,Hold rctb,320.8731382,325.8751606,0,0,0,0,0,0,0,0,0,0,1,2,444,444,444,444,0,250,0,1,1,18,27,281,348,300,581,23,1,686,279,183,711
cat,Stick begin move,321.6792562,321.6842432,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
rct_botg,Hot Dump RCTB,325.8771606,326.9802286,0,0,0,0,0,0,0,0,0,0,0,0,107,107,107,107,0,55,0,1,1,6,8,136,184,129,210,5,0,153,126,42,206
atm_botg,Shuffle Pbars for Mixing,327.0998038,385.7112276,1,1,0,1,1,1,0,0,0,0,0,0,3734,3734,3734,3734,0,2930,0,8,7,331,510,4249,5487,4686,8737,641,262,14563,4077,2714,7341
rct_botg,AgRW1S1,327.120915,347.1500044,0,1,0,0,0,0,0,0,0,0,0,0,1236,1236,1236,1236,0,1001,0,1,1,68,95,1117,1241,1044,2160,106,2,2828,1009,685,1699
rct_botg,Ekick1 RCTB,347.2330048,347.4450058,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17,17,0,11,0,1,1,0,0,16,20,17,32,0,0,33,12,11,47
rct_botg,AgRW1S3,348.5180206,363.5470878,0,0,0,0,0,1,0,0,0,0,0,0,998,998,998,998,0,751,0,1,1,133,270,1161,1282,1180,2301,350,247,7314,1267,793,1427
rct_botg,Ekick2 RCTB,363.620088,363.8320892,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,0,10,0,1,1,1,2,14,19,13,27,2,0,40,10,8,24
rct_botg,Wait after EKick2,363.8940994,381.8961796,1,0,0,0,0,0,0,0,0,0,0,0,1101,1101,1101,1101,0,901,0,1,1,114,111,1539,2235,2025,3416,150,13,3593,1438,1031,1566
rct_botg,Ekick3 RCTB,381.9591798,382.171181,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,0,10,0,1,1,2,1,34,78,29,61,2,0,38,26,8,62
