#run ; bias ; segment1 ; err. segment1 ; segment2 ; err. segment2 ; segment3 ; err. segment3 ; segment4 ; err. segment4 
r14106 	 -2.00 	 -0.39 	 0.18 	 -1.00 	 0.00 	 -0.99 	 0.01 	 nan 	 nan
r14342 	 -1.25 	 -0.14 	 0.27 	 -0.73 	 0.04 	 -0.96 	 0.02 	 1.00 	 0.06
r14268 	 -1.25 	 -0.10 	 0.22 	 -0.71 	 0.04 	 -0.90 	 0.02 	 nan 	 nan
r14347 	 -1.12 	 -0.03 	 0.17 	 -0.59 	 0.04 	 -0.82 	 0.06 	 0.85 	 0.13
r14286 	 -1.00 	 0.21 	 0.45 	 -0.20 	 0.09 	 -0.48 	 0.05 	 nan 	 nan
r14332 	 -1.00 	 -0.46 	 0.19 	 -0.28 	 0.06 	 -0.55 	 0.08 	 0.89 	 0.09
r14338 	 -0.88 	 -0.11 	 0.16 	 -0.12 	 0.07 	 -0.29 	 0.13 	 0.92 	 0.12
r14112 	 -0.75 	 0.08 	 0.20 	 0.14 	 0.08 	 0.08 	 0.06 	 nan 	 nan
r14314 	 -0.75 	 0.34 	 0.16 	 0.24 	 0.06 	 0.19 	 0.04 	 1.00 	 0.01
r14318 	 -0.74 	 0.09 	 0.17 	 0.05 	 0.06 	 0.32 	 0.11 	 1.00 	 0.13
r14308 	 -0.50 	 0.57 	 0.14 	 0.69 	 0.04 	 0.82 	 0.03 	 nan 	 nan
r14100 	 0.00 	 0.66 	 0.16 	 0.96 	 0.02 	 0.99 	 0.01 	 nan 	 nan
r14382 	 -1.29 	 nan 	 nan 	 nan 	 nan 	 nan 	 nan 	 nan 	 nan
r14370 	 -1.07 	 nan 	 nan 	 nan 	 nan 	 nan 	 nan 	 nan 	 nan
r14447 	 -1.00 	 nan 	 nan 	 nan 	 nan 	 nan 	 nan 	 nan 	 nan
r14444 	 -0.88 	 nan 	 nan 	 nan 	 nan 	 nan 	 nan 	 nan 	 nan
r14440 	 -0.75 	 nan 	 nan 	 nan 	 nan 	 nan 	 nan 	 nan 	 nan
